Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,3110,994,0,0,15,99,114,2002,1510,1108,492,202,1685,228,1600
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3450,997,0,0,54,181,235,2218,1444,1232,774,208,1988,216,2006
Région,RSS03,03 - Capitale-Nationale,Total,16441,6279,5,11,399,776,1175,8971,5858,7470,3113,1096,10043,1194,10583
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7624,1652,1,2,188,851,1039,4930,4312,2694,618,391,4363,381,3312
Région,RSS05,05 - Estrie,Total,9337,2034,0,11,276,862,1138,6154,5106,3183,1048,563,4032,435,4231
Région,RSS06,06 - Montréal,Total,76901,13823,126,285,3427,7102,10529,52138,37158,24763,14980,6458,30817,6688,39743
Région,RSS07,07 - Outaouais,Total,8414,3840,17,33,151,1056,1207,3317,1948,5097,1369,237,4824,1147,6466
Région,RSS08,08 - Abitibi-Témiscamingue,Total,933,103,193,0,15,56,71,566,282,367,284,18,273,246,651
Région,RSS09,09 - Côte-Nord,Total,457,163,0,0,9,56,65,229,178,228,51,20,282,41,279
Région,RSS10,10 - Nord-du-Québec,Total,67,22,2,0,4,12,16,27,6,40,21,12,51,6,61
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,708,185,0,0,33,56,89,434,363,274,71,38,346,59,345
Région,RSS12,12 - Chaudière-Appalaches,Total,14303,3452,1,10,342,1608,1950,8890,7621,5413,1269,819,8319,980,6682
Région,RSS13,13 - Laval,Total,19526,3281,13,23,565,2946,3511,12698,9609,6828,3089,785,7265,956,9917
Région,RSS14,14 - Lanaudière,Total,11984,1820,38,11,278,1902,2180,7935,5489,4049,2446,704,5298,823,6495
Région,RSS15,15 - Laurentides,Total,13874,2558,33,59,346,2662,3008,8216,5091,5658,3125,1078,7542,1071,8783
Région,RSS16,16 - Montérégie,Total,28405,4291,25,155,1494,2707,4201,19733,14515,8672,5218,2343,10839,2451,13890
Région,RSS00,Inconnu,Total,910,51,1,0,24,70,94,764,556,146,208,28,269,90,354
Région,RSS98,Hors-Québec,Total,928,125,11,10,181,125,306,476,339,452,137,196,337,269,589
Région,RSS99,Ensemble du Québec,Total,217372,45670,466,610,7801,23127,30928,139698,101385,77674,38313,15196,98573,17281,115987

