group,0d,1d,2d,3d,pop 2021
0-4,2,85,17,0,109960
5-11,6,72075,1320,0,149671
12-17,367,98691,89780,0,115666
18-29,16295,319737,295968,0,367326
30-39,19868,277728,261322,0,330128
40-49,23604,245937,234284,0,281268
50-59,39615,228648,220218,0,254246
60-69,72041,208537,202690,0,219244
70-79,83415,145744,142355,0,148691
80 plus,61595,101472,97433,0,102264
Total 12+,316800,1626494,1544050,0,1818833
Total,316808,1698654,1545387,0,2078464
