date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,total_doses_1d,total_doses_2d,total_doses_3d,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,143,0,0,143,0,0,143,143,0.0058652582,0.0,0.0021420943,115.0,0.0,115.0,0.0,
2020-12-15,Région,RSS06,06 - Montréal,377,0,0,520,0,0,377,520,0.0240730597,0.0,0.0050492223,357.0,0.0,472.0,0.0,
2020-12-16,Région,RSS06,06 - Montréal,312,0,0,832,0,0,312,832,0.0402917736,0.0,0.0064262829,318.0,0.0,790.0,0.0,
2020-12-17,Région,RSS06,06 - Montréal,296,0,0,1128,0,0,296,1128,0.0558474584,0.0,0.0072933211,305.0,0.0,1095.0,0.0,
2020-12-18,Région,RSS06,06 - Montréal,143,0,0,1271,0,0,143,1271,0.0640588199,0.0,0.0083643682,161.0,0.0,1256.0,0.0,
2020-12-19,Région,RSS06,06 - Montréal,84,0,0,1355,0,0,84,1355,0.0687000242,0.0,0.0089763951,91.0,0.0,1347.0,0.0,
2020-12-20,Région,RSS06,06 - Montréal,80,0,0,1435,0,0,80,1435,0.0732902262,0.0,0.0095884221,90.0,0.0,1437.0,0.0,
2020-12-21,Région,RSS06,06 - Montréal,321,0,0,1756,0,0,321,1756,0.0889989177,0.0,0.012903568,308.0,0.0,1745.0,0.0,
2020-12-22,Région,RSS06,06 - Montréal,578,0,0,2334,0,0,578,2334,0.1141940268,0.0,0.0207069115,494.0,0.0,2239.0,0.0,
2020-12-23,Région,RSS06,06 - Montréal,478,0,0,2812,0,0,478,2812,0.137961073,0.0,0.0234100305,466.0,0.0,2705.0,0.0,
2020-12-24,Région,RSS06,06 - Montréal,187,0,0,2999,0,0,187,2999,0.1476514996,0.0,0.0248380934,190.0,0.0,2895.0,0.0,
2020-12-25,Région,RSS06,06 - Montréal,0,0,0,2999,0,0,0,2999,0.1482635266,0.0,0.0248380934,12.0,0.0,2907.0,0.0,
2020-12-26,Région,RSS06,06 - Montréal,220,0,0,3219,0,0,220,3219,0.1598410362,0.0,0.0269291854,227.0,0.0,3134.0,0.0,
