group,1d,2d,3d,pop 2021
0-4,31630,14272,41,428991
5-11,441386,338752,32985,650347
12-17,532860,510477,122813,529446
18-29,1118533,1059450,454737,1216440
30-39,1026444,986040,522052,1118629
40-49,1030864,1006327,658617,1115327
50-59,1082921,1057328,807134,1155183
60-69,1118962,1106834,1004027,1168854
70-79,755935,754416,726682,783129
80 plus,401331,401786,392083,425520
Total 5+,7509236,7221410,4721130,8162875
Total,7540866,7235682,4721171,8591866
