Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;< 5;122;90,9;22029;16409,5;0;;537;400
Anjou;0;36;* 84,1;7423;17345,1;< 5;n.p.;88;205,6
Baie D'urfé;< 5;8;n.p.;370;9678,3;0;;< 5;n.p.
Beaconsfield;< 5;24;* 124,2;1902;9842,7;0;;27;* 139,7
Côte-des-Neiges–Notre-Dame-de-Grâce;14;180;108,1;26365;15832,9;< 5;n.p.;419;251,6
Côte-Saint-Luc;< 5;42;129,4;6117;18851,7;0;;131;403,7
Dollard-des-Ormeaux;< 5;33;* 67,5;6912;14135,3;0;;134;274
Dorval;< 5;52;274;2443;12871,4;0;;70;368,8
Hampstead;< 5;18;* 258,1;1372;19675,9;0;;7;n.p.
Kirkland;0;31;* 153,8;2310;11463,5;< 5;n.p.;41;203,5
Lachine;< 5;44;98,9;6985;15700,5;0;;197;442,8
LaSalle;< 5;67;87,2;12180;15848,4;0;;261;339,6
L'Île-Bizard–Sainte-Geneviève;< 5;19;* 103,2;2659;14440,9;< 5;n.p.;83;450,8
Mercier–Hochelaga-Maisonneuve;11;127;93,4;21446;15766,3;< 5;n.p.;521;383
Montréal Est;0;< 5;n.p.;754;19584,4;0;;12;* 311,7
Montréal-Nord;< 5;57;67,7;16141;19162,1;0;;398;472,5
Montréal-Ouest;< 5;6;n.p.;660;13069,3;0;;< 5;n.p.
Mont-Royal;< 5;26;* 128,2;3005;14820,5;0;;95;468,5
Outremont;< 5;28;* 116,9;3241;13530,1;0;;31;* 129,4
Pierrefonds–Roxboro;5;72;103,9;9829;14183,9;0;;105;151,5
Plateau Mont-Royal;< 5;104;100;14130;13586,5;0;;202;194,2
Pointe-Claire;0;37;117,9;3331;10615;< 5;n.p.;69;219,9
Rivière-des-Prairies–Pointe-aux-Trembles;9;88;82,4;19277;18059,3;0;;361;338,2
Rosemont–La Petite Patrie;12;162;116,1;19997;14325,5;< 5;n.p.;367;262,9
Sainte-Anne-de-Bellevue;< 5;< 5;n.p.;542;10931,8;0;;16;* 322,7
Saint-Laurent;< 5;95;96,1;15985;16174,6;0;;174;176,1
Saint-Léonard;< 5;54;69;15246;19470;< 5;n.p.;175;223,5
Senneville;0;0;;96;10423,5;0;;0;
Sud-Ouest;< 5;76;97,2;10949;14010,1;0;;235;300,7
Verdun;< 5;68;98,2;8669;12522,2;0;;220;317,8
Ville-Marie;6;146;163,7;13748;15417,7;0;;159;178,3
Villeray–Saint-Michel–Parc-Extension;6;108;75,1;23488;16327,8;0;;253;175,9
Westmount;< 5;41;201,9;2520;12406,5;0;;66;324,9
Territoire à confirmer;< 5;101;;8684;;0;;31;
Total à Montréal;105;2079;100,6;310806;15046,4;10;*0,5;5491;265,8
