Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2710,994,,,6,16,1694,1016,1627,186,1580,220,1497
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3216,997,,,9,72,2138,1078,1986,162,1894,204,1848
Région,RSS03,03 - Capitale-Nationale,15001,6274,5,11,162,406,8143,6858,9727,816,9382,1047,9957
Région,RSS04,04 - Mauricie et Centre-du-Québec,6325,1651,1,2,79,485,4107,2218,3625,259,3462,368,2801
Région,RSS05,05 - Estrie,7495,2035,,11,105,340,5004,2491,3501,338,3316,369,3470
Région,RSS06,06 - Montréal,69031,13820,126,284,1677,3672,49452,19579,32380,4283,28276,5517,35131
Région,RSS07,07 - Outaouais,7655,3839,17,33,93,546,3127,4528,5479,165,4290,1121,5879
Région,RSS08,08 - Abitibi-Témiscamingue,865,100,193,,8,13,551,314,423,12,222,234,594
Région,RSS09,09 - Côte-Nord,292,162,,,3,8,119,173,239,14,227,35,220
Région,RSS10,10 - Nord-du-Québec,62,22,2,,1,12,25,37,61,3,57,4,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,530,185,,,9,33,303,227,357,17,322,36,298
Région,RSS12,12 - Chaudière-Appalaches,11516,3452,1,10,26,550,7477,4039,7942,482,7134,766,5258
Région,RSS13,13 - Laval,17255,3278,13,23,374,1452,12115,5140,8065,544,5740,871,8161
Région,RSS14,14 - Lanaudière,10353,1819,38,11,183,932,7370,2983,5299,479,4413,687,5399
Région,RSS15,15 - Laurentides,11723,2557,33,59,204,1055,7815,3908,6574,849,5964,972,7030
Région,RSS16,16 - Montérégie,24764,4290,25,155,743,1479,18072,6692,12418,1393,9784,1971,11983
Région,RSS00,Inconnu,457,50,1,,8,43,355,102,359,13,229,85,301
Région,RSS98,Hors-Québec,752,123,11,10,118,102,388,364,360,139,291,211,488
Région,RSS99,Ensemble du Québec,190002,45648,466,609,3808,11216,128255,61747,100422,10154,86583,14718,100373

