Arrondissement ou ville liée;Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;Ahuntsic–Cartierville;38;433;322,5;12743;9492,3;< 5;n.p.;493
Anjou;Anjou;29;188;439,3;4358;10183,2;< 5;n.p.;80
Baie D'urfé;Baie D'urfé;0;< 5;n.p.;118;3086,6;0;;< 5
Beaconsfield;Beaconsfield;< 5;27;* 139,7;659;3410,3;0;;21
Côte-des-Neiges–Notre-Dame-de-Grâce;Côte-des-Neiges–Notre-Dame-de-Grâce;59;531;318,9;14378;8634,4;0;;372
Côte-Saint-Luc;Côte-Saint-Luc;19;180;554,7;3488;10749,5;0;;120
Dollard-des-Ormeaux;Dollard-des-Ormeaux;12;132;269,9;3497;7151,5;0;;125
Dorval;Dorval;< 5;51;268,7;986;5194,9;0;;69
Hampstead;Hampstead;5;33;* 473,3;563;8074;0;;6
Kirkland;Kirkland;< 5;32;* 158,8;946;4694,6;0;;36
Lachine;Lachine;8;77;173,1;3509;7887,3;< 5;n.p.;172
LaSalle;LaSalle;39;255;331,8;6784;8827,2;0;;247
L'Île-Bizard–Sainte-Geneviève;L'Île-Bizard–Sainte-Geneviève;< 5;56;304,1;1266;6875,6;0;;76
Mercier–Hochelaga-Maisonneuve;Mercier–Hochelaga-Maisonneuve;62;417;306,6;10830;7961,8;0;;452
Montréal Est;Montréal Est;< 5;44;1142,9;398;10337,7;0;;9
Montréal-Nord;Montréal-Nord;28;218;258,8;10701;12703,9;0;;338
Montréal-Ouest;Montréal-Ouest;< 5;25;* 495;277;5485,1;0;;< 5
Mont-Royal;Mont-Royal;12;72;355,1;1364;6727,2;0;;94
Outremont;Outremont;14;103;430;1567;6541,7;0;;29
Pierrefonds–Roxboro;Pierrefonds–Roxboro;17;212;305,9;5245;7568,9;0;;88
Plateau Mont-Royal;Plateau Mont-Royal;76;322;309,6;6000;5769,2;< 5;n.p.;173
Pointe-Claire;Pointe-Claire;8;103;328,2;1355;4318;0;;56
Rivière-des-Prairies–Pointe-aux-Trembles;Rivière-des-Prairies–Pointe-aux-Trembles;50;382;357,9;11286;10573,1;< 5;n.p.;324
Rosemont–La Petite Patrie;Rosemont–La Petite Patrie;80;501;358,9;8954;6414,5;< 5;n.p.;329
Sainte-Anne-de-Bellevue;Sainte-Anne-de-Bellevue;< 5;13;* 262,2;203;4094,4;0;;13
Saint-Laurent;Saint-Laurent;44;301;304,6;9999;10117,6;0;;159
Saint-Léonard;Saint-Léonard;22;294;375,5;9768;12474,3;0;;150
Senneville;Senneville;0;< 5;n.p.;35;* 3800,2;0;;0
Sud-Ouest;Sud-Ouest;44;217;277,7;5009;6409,4;0;;209
Verdun;Verdun;42;190;274,5;3953;5710;0;;202
Ville-Marie;Ville-Marie;30;216;242,2;6130;6874,5;< 5;n.p.;132
Villeray–Saint-Michel–Parc-Extension;Villeray–Saint-Michel–Parc-Extension;57;433;301;13439;9342,2;< 5;n.p.;207
Westmount;Westmount;12;47;231,4;951;4682;0;;57
Territoire à confirmer;Territoire à confirmer;16;;0;;0;;0;
Total à Montréal;Total à Montréal;844;6196;300;163066;7894,1;8;n.p.;4871
