Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptif,nbrOmicronSanger,nbrOmicronSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,3432,994,0,0,26,98,124,2314,1845,1118,469,206,1675,221,1587,0,0,0,0
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3916,997,0,0,68,177,245,2674,1916,1242,758,212,1984,216,2000,0,0,0,0
Région,RSS03,03 - Capitale-Nationale,Total,18354,6280,5,11,506,714,1220,10838,7968,7516,2870,1151,9966,1073,10386,0,0,0,0
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,10033,1652,1,2,258,822,1080,7298,6754,2735,544,419,4285,375,3279,0,0,0,0
Région,RSS05,05 - Estrie,Total,13658,2033,0,11,473,811,1284,10330,9360,3328,970,622,3981,520,4298,0,0,0,0
Région,RSS06,06 - Montréal,Total,88514,13820,126,285,4104,6571,10675,63608,51496,24906,12112,6890,30221,7047,37018,18,7,0,25
Région,RSS07,07 - Outaouais,Total,9122,3839,17,33,170,1053,1223,4010,3726,5112,284,238,4821,775,5396,4,2,0,6
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1238,103,187,0,28,40,68,880,776,358,104,29,256,243,462,0,0,0,0
Région,RSS09,09 - Côte-Nord,Total,545,163,0,0,11,54,65,317,276,228,41,22,279,33,269,0,0,0,0
Région,RSS10,10 - Nord-du-Québec,Total,77,22,1,0,5,11,16,38,19,39,19,13,50,5,58,0,0,0,0
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,781,185,0,0,33,56,89,507,458,274,49,38,346,37,323,0,0,0,0
Région,RSS12,12 - Chaudière-Appalaches,Total,17655,3452,1,10,496,1547,2043,12149,11470,5506,679,874,8257,1107,6185,0,0,0,0
Région,RSS13,13 - Laval,Total,22100,3280,13,23,591,2926,3517,15267,13905,6833,1362,809,7239,950,8195,0,0,0,0
Région,RSS14,14 - Lanaudière,Total,14506,1820,38,11,364,1874,2238,10399,8586,4107,1813,734,5263,768,5920,0,0,0,0
Région,RSS15,15 - Laurentides,Total,17365,2558,33,59,428,2626,3054,11661,8896,5704,2765,1114,7483,1078,8469,0,0,0,0
Région,RSS16,16 - Montérégie,Total,33858,4291,26,155,1813,2552,4365,25021,21711,8837,3310,2485,10682,1867,12147,4,1,0,5
Région,RSS00,Inconnu,Total,1445,51,1,0,128,63,191,1202,1057,243,145,31,262,170,388,0,1,0,1
Région,RSS98,Hors-Québec,Total,1030,125,11,10,196,112,308,576,477,454,99,208,321,265,553,0,4,0,4
Région,RSS99,Ensemble du Québec,Total,257629,45665,460,610,9698,22107,31805,179089,150696,78540,28393,16095,97371,16750,106933,26,15,0,41

