,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4156,5,4134,22,54,0,4036,66,196934.5,2110.35,33.54,27.42,4
02,02 - Saguenay-Lac-Saint-Jean,11306,2,11087,219,271,0,11003,32,277505,4074.16,11.54,97.66,5
03,03 - Capitale-Nationale,34304,17,33950,354,1122,0,32980,202,757803,4526.77,26.57,148.06,15
04,04 - Mauricie et Centre-du-Québec,17264,16,17027,237,569,0,16426,269,523331.5,3298.87,51.30,108.73,31
05,05 - Estrie,16766,19,16255,511,366,0,16167,233,494966.5,3387.30,46.90,73.94,33
06,06 - Montréal,146596,114,143663,2933,4818,1,140332,1446,2072060.5,7074.89,69.57,232.52,135
07,07 - Outaouais,14037,19,13589,448,222,0,13620,195,402744,3485.34,48.21,55.12,22
08,08 - Abitibi-Témiscamingue,1254,1,1221,33,9,0,1225,20,147637,849.38,13.54,6.10,0
09,09 - Côte-Nord,638,4,617,21,5,0,607,26,89700.5,711.26,29.09,5.57,0
10,10 - Nord-du-Québec,136,0,134,2,0,0,136,0,13521.5,1005.81,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2176,0,2155,21,47,0,2107,22,89823,2422.54,24.54,52.33,4
12,12 - Chaudière-Appalaches,21359,36,21085,274,373,0,20512,474,431109.5,4954.43,109.75,86.52,81
13,13 - Laval,36467,46,34540,1927,932,0,35079,456,444658.5,8201.13,102.11,209.60,37
14,14 - Lanaudière,26935,23,26225,710,524,1,26080,331,522367,5156.34,63.09,100.31,38
15,15 - Laurentides,24581,34,23979,602,524,0,23648,409,630238,3900.27,64.56,83.14,54
16,16 - Montérégie,57332,66,55406,1926,1580,0,55046,706,1438226,3986.30,48.90,109.86,80
17,17 - Nunavik,59,4,57,2,0,0,52,7,14336.5,411.54,48.57,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,137,0,18507,767.28,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1164,3,1157,7,1,0,1150,13,.,.,.,.,3
999,Ensemble du Québec,416676,409,406426,10250,11422,2,400347,4907,8565469.5,4864.60,57.11,133.35,542

