Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2794,994,0,0,5,76,81,1719,1075,1712,188,1657,220,1565
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3326,997,0,0,9,178,187,2142,1184,2099,165,1995,204,1958
Région,RSS03,03 - Capitale-Nationale,Total,15581,6276,5,11,173,862,1035,8254,7327,10429,856,10054,1053,10439
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,6958,1652,1,2,67,855,922,4381,2577,4429,267,4201,372,3190
Région,RSS05,05 - Estrie,Total,8103,2035,0,11,121,866,987,5070,3033,4255,391,3973,382,4048
Région,RSS06,06 - Montréal,Total,72558,13822,126,284,1972,7478,9450,48876,23682,35807,4850,31355,5795,38609
Région,RSS07,07 - Outaouais,Total,8102,3839,17,33,99,964,1063,3150,4952,6034,173,4722,1130,6313
Région,RSS08,08 - Abitibi-Témiscamingue,Total,898,101,193,0,10,31,41,563,335,459,15,245,239,619
Région,RSS09,09 - Côte-Nord,Total,328,163,0,0,3,33,36,129,199,272,14,254,36,246
Région,RSS10,10 - Nord-du-Québec,Total,64,22,2,0,2,13,15,25,39,63,4,58,5,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,575,185,0,0,5,70,75,315,260,396,14,359,36,331
Région,RSS12,12 - Chaudière-Appalaches,Total,12670,3452,1,10,38,1497,1535,7672,4998,9016,504,8192,766,6250
Région,RSS13,13 - Laval,Total,18427,3278,13,23,385,2820,3205,11908,6519,9552,580,7174,889,9621
Région,RSS14,14 - Lanaudière,Total,11126,1820,38,11,172,1855,2027,7230,3896,6293,553,5297,758,6343
Région,RSS15,15 - Laurentides,Total,12780,2559,33,59,212,2559,2771,7358,5422,8148,904,7438,1008,8525
Région,RSS16,16 - Montérégie,Total,26330,4291,25,155,870,3061,3931,17928,8402,14318,1644,11197,2084,13613
Région,RSS00,Inconnu,Total,480,50,1,0,18,61,79,350,130,426,21,255,88,336
Région,RSS98,Hors-Québec,Total,835,124,11,10,138,136,274,416,419,429,159,347,229,555
Région,RSS99,Ensemble du Québec,Total,201935,45660,466,609,4299,23415,27714,127486,74449,114137,11302,98773,15294,112621

