group,1d,2d,pop 2021
0-11,457.0,25.0,1079338
12-17,389131.0,1761.0,529446
18-29,794649.0,73827.0,1216440
30-39,789419.0,94790.0,1118629
40-49,868253.0,142025.0,1115327
50-59,967966.0,248777.0,1155183
60-69,1055248.0,444712.0,1168854
70-79,728360.0,442351.0,783129
80 plus,389954.0,280334.0,425520
Total,5983437.0,1728602.0,8591866
