,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1476,5,1460,16,30,0,1426,20,196934.5,749.49,10.16,15.23
02,02 - Saguenay–Lac-Saint-Jean,8760,-3,8572,188,262,0,8437,61,277505,3156.70,21.99,94.41
03,03 - Capitale-Nationale,21573,49,21244,329,938,3,19896,739,757803,2846.78,97.22,123.78
04,04 - Mauricie et Centre-du-Québec,12298,34,12071,227,463,7,11303,532,523331.5,2349.94,101.46,88.47
05,05 - Estrie,10693,42,10277,416,279,0,10026,388,494966.5,2160.35,78.10,56.37
06,06 - Montréal,95893,494,93056,2837,4340,7,85715,5838,2072060.5,4627.91,280.88,209.45
07,07 - Outaouais,5875,10,5489,386,153,0,5600,122,402744,1458.74,30.16,37.99
08,08 - Abitibi-Témiscamingue,712,2,679,33,5,0,676,31,147637,482.26,20.99,3.39
09,09 - Côte-Nord,342,0,328,14,3,0,337,2,89700.5,381.27,2.24,3.34
10,10 - Nord-du-Québec,87,0,85,2,0,0,87,0,13521.5,643.42,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1686,1,1667,19,45,0,1640,1,89823,1877.02,1.12,50.10
12,12 - Chaudière-Appalaches,11112,65,10850,262,264,2,10439,409,431109.5,2577.54,94.70,61.24
13,13 - Laval,22436,93,20980,1456,842,5,20551,1043,444658.5,5045.67,233.56,189.36
14,14 - Lanaudière,18878,63,18168,710,468,0,17593,817,522367,3613.93,155.73,89.59
15,15 - Laurentides,14777,48,14180,597,446,5,13611,720,630238,2344.67,113.65,70.77
16,16 - Montérégie,38589,148,37024,1565,1359,8,34990,2240,1438226,2683.10,155.16,94.49
17,17 - Nunavik,39,0,37,2,0,0,37,2,14336.5,272.03,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,114,0,114,0,2,0,97,15,18507,615.98,80.52,10.81
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,235,2,231,4,0,0,227,8,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,265579,1053,256516,9063,9899,37,242692,12988,8565469.5,3100.58,151.17,115.57
