,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1467,2,1451,16,30,0,1417,20,196795,744.92,10.16,15.23
02,02 - Saguenay–Lac-Saint-Jean,8755,4,8567,188,261,0,8363,131,277378,3154.90,47.23,94.05
03,03 - Capitale-Nationale,21319,67,20996,323,916,8,19479,924,760147,2813.26,121.56,120.88
04,04 - Mauricie et Centre-du-Québec,12154,51,11927,227,444,1,11055,655,524322,2322.43,124.92,84.84
05,05 - Estrie,10534,48,10123,411,271,4,9738,525,496770,2128.22,105.68,54.75
06,06 - Montréal,93447,537,90614,2833,4298,13,82796,6353,2078464,4509.86,305.66,207.43
07,07 - Outaouais,5809,17,5427,382,152,0,5512,145,404456,1442.36,35.85,37.74
08,08 - Abitibi-Témiscamingue,703,7,670,33,5,0,649,49,147658,476.17,33.18,3.39
09,09 - Côte-Nord,340,0,326,14,3,0,337,0,89368,379.04,0.00,3.34
10,10 - Nord-du-Québec,87,0,85,2,0,0,86,1,13485,643.42,7.42,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1686,0,1667,19,45,0,1637,4,89648,1877.02,4.46,50.10
12,12 - Chaudière-Appalaches,10911,43,10649,262,258,4,10178,475,431910,2530.91,109.98,59.85
13,13 - Laval,21901,108,20453,1448,822,4,19971,1108,446572,4925.35,248.11,184.86
14,14 - Lanaudière,18528,99,17818,710,464,4,17131,933,524642,3546.93,177.84,88.83
15,15 - Laurentides,14415,87,13818,597,427,5,13071,917,633508,2287.23,144.75,67.75
16,16 - Montérégie,37559,216,36044,1515,1319,7,33770,2470,1443701,2611.48,171.09,91.71
17,17 - Nunavik,37,0,35,2,0,0,36,1,14413,258.08,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,111,3,111,0,2,0,69,40,18629,599.77,214.72,10.81
98,Inconnu,4,-1,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,226,7,222,4,0,0,217,9,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,259993,1295,251007,8986,9717,50,235516,14760,8591866,3035.36,171.79,113.44
