group,1d,2d,pop 2021
0-11,548,137,1079338
12-17,505526,464176,529446
18-29,1060352,982982,1216440
30-39,977264,921728,1118629
40-49,999951,963230,1115327
50-59,1060539,1026004,1155183
60-69,1102102,1086050,1168854
70-79,747377,744245,783129
80 plus,397795,395363,425520
Total 12+,6850906,6583778,7512528
Total,6851454,6583915,8591866
