group,0d,1d,2d,pop 2021
0-4,89231,136,3,
5-11,148181,18,0,
12-17,56074,69541,386,
18-29,97558,223524,17069,
30-39,85845,217670,23041,
40-49,56948,203220,33672,
50-59,36832,200404,55190,
60-69,12867,193062,96144,
70-79,6141,135955,76447,
80 plus,5700,93583,57733,
Total,595377,1337113,359685,
