group,1d,2d,pop 2021
0-11,456.0,22.0,1079338
12-17,386975.0,1655.0,529446
18-29,792231.0,69201.0,1216440
30-39,787756.0,89465.0,1118629
40-49,866931.0,132575.0,1115327
50-59,966929.0,233187.0,1155183
60-69,1054602.0,412757.0,1168854
70-79,728037.0,412706.0,783129
80 plus,389803.0,266447.0,425520
Total,5973720.0,1618015.0,8591866
