Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2762;8,3;2057,4;360;268,2
Anjou;843;2,5;1969,8;51;119,2
Baie D'urfé;32;0,1;*837;< 5;n.p.
Beaconsfield;74;0,2;382,9;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2692;8,1;1616,6;261;156,7
Côte-Saint-Luc;648;1,9;1997;64;197,2
Dollard-des-Ormeaux;541;1,6;1106,4;83;169,7
Dorval;219;0,7;1153,8;50;263,4
Hampstead;79;0,2;1132,9;< 5;n.p.
Kirkland;151;0,5;749,3;23;*114,1
Lachine;755;2,3;1697;100;224,8
LaSalle;1404;4,2;1826,9;183;238,1
L'Île-Bizard–Sainte-Geneviève;244;0,7;1325,2;46;249,8
Mercier–Hochelaga-Maisonneuve;2761;8,3;2029,8;373;274,2
Montréal Est;53;0,2;1376,6;5;n.p.
Montréal-Nord;2942;8,8;3492,7;247;293,2
Montréal-Ouest;36;0,1;*712,9;< 5;n.p.
Mont-Royal;316;0,9;1558,5;77;379,8
Outremont;449;1,3;1874,4;12;*50,1
Pierrefonds–Roxboro;659;2;951;39;56,3
Plateau Mont-Royal;1375;4,1;1322,1;140;134,6
Pointe-Claire;251;0,8;799,9;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2491;7,5;2333,6;242;226,7
Rosemont–La Petite Patrie;2019;6,1;1446,4;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1380;4,1;1396,4;120;121,4
Saint-Léonard;1437;4,3;1835,1;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1205;3,6;1541,9;182;232,9
Verdun;1110;3,3;1603,4;159;229,7
Ville-Marie;1379;4,1;1546,5;87;97,6
Villeray–Saint-Michel–Parc-Extension;2728;8,2;1896,4;133;92,5
Westmount;231;0,7;1137,3;37;182,2
Territoire à confirmer;767;;;45;
Total à Montréal;34055;;1648,6;3481;168,5
