date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,vac_quo_4_n,total_doses_1d,total_doses_2d,total_doses_3d,vac_cum_4_n,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,148,0,0,0,148,0,0,0,148,148,0.0059167678,0.0,0.0020228266,117.0,0.0,117.0,0.0,
2020-12-15,Région,RSS06,06 - Montréal,384,0,0,0,532,0,0,0,384,532,0.0243244897,0.0,0.0049053545,364.0,0.0,481.0,0.0,
2020-12-16,Région,RSS06,06 - Montréal,320,0,0,0,852,0,0,0,320,852,0.0408105264,0.0,0.0062707624,326.0,0.0,807.0,0.0,
2020-12-17,Région,RSS06,06 - Montréal,295,0,0,0,1147,0,0,0,295,1147,0.0561840084,0.0,0.0071304637,304.0,0.0,1111.0,0.0,
2020-12-18,Région,RSS06,06 - Montréal,147,0,0,0,1294,0,0,0,147,1294,0.0645787388,0.0,0.0081924477,166.0,0.0,1277.0,0.0,
2020-12-19,Région,RSS06,06 - Montréal,83,0,0,0,1377,0,0,0,83,1377,0.0691300986,0.0,0.0087992957,90.0,0.0,1367.0,0.0,
2020-12-20,Région,RSS06,06 - Montréal,80,0,0,0,1457,0,0,0,80,1457,0.0736814584,0.0,0.0094061436,90.0,0.0,1457.0,0.0,
2020-12-21,Région,RSS06,06 - Montréal,321,0,0,0,1778,0,0,0,321,1778,0.0891560818,0.0,0.0126426662,306.0,0.0,1763.0,0.0,
2020-12-22,Région,RSS06,06 - Montréal,580,0,0,0,2358,0,0,0,580,2358,0.1138851368,0.0,0.0202788365,489.0,0.0,2252.0,0.0,
2020-12-23,Région,RSS06,06 - Montréal,481,0,0,0,2839,0,0,0,481,2839,0.1372993546,0.0,0.0229590818,463.0,0.0,2715.0,0.0,
2020-12-24,Région,RSS06,06 - Montréal,184,0,0,0,3023,0,0,0,184,3023,0.1467560689,0.0,0.0243244897,187.0,0.0,2902.0,0.0,
2020-12-25,Région,RSS06,06 - Montréal,0,0,0,0,3023,0,0,0,0,3023,0.1473629168,0.0,0.0243244897,12.0,0.0,2914.0,0.0,
2020-12-26,Région,RSS06,06 - Montréal,221,0,0,0,3244,0,0,0,221,3244,0.1588930284,0.0,0.026397887,228.0,0.0,3142.0,0.0,
2020-12-27,Région,RSS06,06 - Montréal,202,0,0,0,3446,0,0,0,202,3446,0.1701197159,0.0,0.0275104416,222.0,0.0,3364.0,0.0,
2020-12-28,Région,RSS06,06 - Montréal,590,0,0,0,4036,0,0,0,590,4036,0.201776952,0.0,0.0322640841,626.0,0.0,3990.0,0.0,
2020-12-29,Région,RSS06,06 - Montréal,556,0,0,0,4592,0,0,0,556,4592,0.2324733455,0.0,0.0355511773,607.0,0.0,4597.0,0.0,
2020-12-30,Région,RSS06,06 - Montréal,563,0,0,0,5155,0,0,0,563,5155,0.2631191683,0.0,0.0401025371,606.0,0.0,5203.0,0.0,
2020-12-31,Région,RSS06,06 - Montréal,37,0,0,0,5192,0,0,0,37,5192,0.2663051201,0.0,0.0402542491,63.0,0.0,5266.0,0.0,
2021-01-01,Région,RSS06,06 - Montréal,6,0,0,0,5198,0,0,0,6,5198,0.2679739521,0.0,0.0403553904,33.0,0.0,5299.0,0.0,
2021-01-02,Région,RSS06,06 - Montréal,16,0,0,0,5214,0,0,0,16,5214,0.2698450667,0.0,0.0404059611,37.0,0.0,5336.0,0.0,
2021-01-03,Région,RSS06,06 - Montréal,12,0,0,0,5226,0,0,0,12,5226,0.2721207466,0.0,0.0404059611,45.0,0.0,5381.0,0.0,
2021-01-04,Région,RSS06,06 - Montréal,573,5,0,0,5799,5,0,0,578,5804,0.3005414601,0.0002528533,0.0484466967,562.0,5.0,5943.0,5.0,
2021-01-05,Région,RSS06,06 - Montréal,1896,7,0,0,7695,12,0,0,1903,7707,0.3918720805,0.00075856,0.0710517839,1806.0,10.0,7749.0,15.0,
2021-01-06,Région,RSS06,06 - Montréal,2746,7,0,0,10441,19,0,0,2753,10460,0.5220409713,0.0013654079,0.0984105134,2574.0,12.0,10323.0,27.0,
2021-01-07,Région,RSS06,06 - Montréal,4130,0,0,0,14571,19,0,0,4130,14590,0.7083938706,0.0017194026,0.1465032155,3685.0,7.0,14008.0,34.0,
2021-01-08,Région,RSS06,06 - Montréal,3788,4,0,0,18359,23,0,0,3792,18382,0.885239485,0.0024273919,0.1869597473,3497.0,14.0,17505.0,48.0,
2021-01-09,Région,RSS06,06 - Montréal,2041,0,0,0,20400,23,0,0,2041,20423,0.9839534224,0.0028319572,0.2055697519,1952.0,8.0,19457.0,56.0,
2021-01-10,Région,RSS06,06 - Montréal,1412,1,0,0,21812,24,0,0,1413,21836,1.0551063476,0.0030342399,0.217908994,1407.0,4.0,20864.0,60.0,
2021-01-11,Région,RSS06,06 - Montréal,1616,2,0,0,23428,26,0,0,1618,23454,1.1361205524,0.0037422292,0.2328779108,1602.0,14.0,22466.0,74.0,
2021-01-12,Région,RSS06,06 - Montréal,1110,2,0,0,24538,28,0,0,1112,24566,1.196957062,0.0042985065,0.2384912546,1203.0,11.0,23669.0,85.0,
2021-01-13,Région,RSS06,06 - Montréal,1319,0,0,0,25857,28,0,0,1319,25885,1.2688179765,0.0049053545,0.2437506037,1421.0,12.0,25090.0,97.0,
2021-01-14,Région,RSS06,06 - Montréal,1916,1,0,0,27773,29,0,0,1917,27802,1.3705155831,0.0055627731,0.2551290032,2011.0,13.0,27101.0,110.0,
2021-01-15,Région,RSS06,06 - Montréal,1783,1,0,0,29556,30,0,0,1784,29586,1.465234438,0.0063213331,0.2626134616,1873.0,15.0,28974.0,125.0,
2021-01-16,Région,RSS06,06 - Montréal,1139,3,0,0,30695,33,0,0,1142,30728,1.5244526863,0.0068776104,0.2687830827,1171.0,11.0,30145.0,136.0,
2021-01-17,Région,RSS06,06 - Montréal,944,1,0,0,31639,34,0,0,945,31673,1.5723936764,0.0074338877,0.2746998505,948.0,11.0,31093.0,147.0,
2021-01-18,Région,RSS06,06 - Montréal,1089,7,0,0,32728,41,0,0,1096,32769,1.6288811089,0.009052149,0.2850162661,1117.0,32.0,32210.0,179.0,
2021-01-19,Région,RSS06,06 - Montréal,1330,1,0,0,34058,42,0,0,1331,34100,1.6991237621,0.0104175569,0.2927535777,1389.0,27.0,33599.0,206.0,
2021-01-20,Région,RSS06,06 - Montréal,1588,1,0,0,35646,43,0,0,1589,35689,1.7849927507,0.0112772582,0.2993783348,1698.0,17.0,35297.0,223.0,
2021-01-21,Région,RSS06,06 - Montréal,1970,5,0,0,37616,48,0,0,1975,37664,1.8897751679,0.0126426662,0.3085316251,2072.0,27.0,37369.0,250.0,
2021-01-22,Région,RSS06,06 - Montréal,2201,3,0,0,39817,51,0,0,2204,39868,2.005733702,0.0134012261,0.3166229315,2293.0,15.0,39662.0,265.0,
2021-01-23,Région,RSS06,06 - Montréal,1267,4,0,0,41084,55,0,0,1271,41139,2.072992686,0.0140080741,0.3205168726,1330.0,12.0,40992.0,277.0,
2021-01-24,Région,RSS06,06 - Montréal,394,2,0,0,41478,57,0,0,396,41535,2.0948897838,0.0148677754,0.3225396992,433.0,17.0,41425.0,294.0,
2021-01-25,Région,RSS06,06 - Montréal,629,4,0,0,42107,61,0,0,633,42168,2.1313006623,0.01673889,0.3258773631,720.0,37.0,42145.0,331.0,
