,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,3954,3,3928,26,51,0,3890,13,196934.5,2007.77,6.61,25.90,1
02,02 - Saguenay-Lac-Saint-Jean,11010,1,10789,221,270,0,10727,13,277505,3967.50,4.69,97.30,1
03,03 - Capitale-Nationale,32750,1,32398,352,1115,0,31606,29,757803,4321.70,3.82,147.14,3
04,04 - Mauricie et Centre-du-Québec,15176,2,14937,239,525,0,14637,14,523331.5,2899.88,2.67,100.32,7
05,05 - Estrie,14880,1,14362,518,351,0,14497,32,494966.5,3006.26,6.44,70.91,9
06,06 - Montréal,132520,30,129598,2922,4764,0,127317,439,2072060.5,6395.57,21.12,229.92,64
07,07 - Outaouais,12472,16,12025,447,214,0,12191,67,402744,3096.76,16.57,53.14,14
08,08 - Abitibi-Témiscamingue,1145,0,1112,33,9,0,1131,5,147637,775.55,3.39,6.10,1
09,09 - Côte-Nord,574,0,555,19,4,0,570,0,89700.5,639.91,0.00,4.46,0
10,10 - Nord-du-Québec,109,0,107,2,0,0,109,0,13521.5,806.12,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2061,0,2041,20,46,0,2007,8,89823,2294.51,8.92,51.21,1
12,12 - Chaudière-Appalaches,19260,2,18979,281,358,0,18863,39,431109.5,4467.54,9.03,83.04,12
13,13 - Laval,31563,7,29747,1816,913,0,30530,120,444658.5,7098.26,26.87,205.33,15
14,14 - Lanaudière,24008,8,23297,711,516,0,23414,78,522367,4596.00,14.87,98.78,11
15,15 - Laurentides,20969,5,20365,604,509,0,20416,44,630238,3327.16,6.95,80.76,8
16,16 - Montérégie,51316,8,49363,1953,1554,0,49599,163,1438226,3568.01,11.29,108.05,31
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,469,4,464,5,0,0,459,10,.,.,.,.,0
999,Ensemble du Québec,374406,88,364234,10172,11202,0,362130,1074,8565469.5,4371.11,12.50,130.78,178

