Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;n.d.;69;51,4;10493;7816,3;< 5;n.p.;480;357,6
Anjou;n.d.;10;* 23,4;3525;8236,8;0;;77;179,9
Baie D'urfé;n.d.;0;;95;2485;0;;< 5;n.p.
Beaconsfield;n.d.;< 5;n.p.;481;2489,1;0;;21;* 108,7
Côte-des-Neiges–Notre-Dame-de-Grâce;n.d.;39;23,4;11879;7133,7;0;;368;221
Côte-Saint-Luc;n.d.;< 5;n.p.;2810;8660;0;;117;360,6
Dollard-des-Ormeaux;n.d.;5;n.p.;2809;5744,5;0;;123;251,5
Dorval;n.d.;< 5;n.p.;808;4257,1;0;;68;358,3
Hampstead;n.d.;< 5;n.p.;392;5621,7;0;;6;n.p.
Kirkland;n.d.;0;;766;3801,3;0;;33;* 163,8
Lachine;n.d.;7;n.p.;2951;6633,1;0;;170;382,1
LaSalle;n.d.;10;* 13;5652;7354,3;< 5;n.p.;241;313,6
L'Île-Bizard–Sainte-Geneviève;n.d.;5;n.p.;1068;5800,2;< 5;n.p.;76;412,8
Mercier–Hochelaga-Maisonneuve;n.d.;83;61;8776;6451,8;0;;446;327,9
Montréal Est;n.d.;< 5;n.p.;273;7090,9;0;;9;* 233,8
Montréal-Nord;n.d.;36;* 42,7;9068;10765,2;0;;336;398,9
Montréal-Ouest;n.d.;< 5;n.p.;187;3703;0;;< 5;n.p.
Mont-Royal;n.d.;< 5;n.p.;1119;5518,8;0;;93;458,7
Outremont;n.d.;< 5;n.p.;1267;5289,3;0;;29;* 121,1
Pierrefonds–Roxboro;n.d.;30;* 43,3;4232;6107;< 5;n.p.;84;121,2
Plateau Mont-Royal;n.d.;12;* 11,5;4716;4534,6;0;;172;165,4
Pointe-Claire;n.d.;0;;1071;3413;0;;54;172,1
Rivière-des-Prairies–Pointe-aux-Trembles;n.d.;41;38,4;8964;8397,7;0;;314;294,2
Rosemont–La Petite Patrie;n.d.;23;* 16,5;7052;5051,9;< 5;n.p.;324;232,1
Sainte-Anne-de-Bellevue;n.d.;0;;141;2843,9;0;;12;* 242
Saint-Laurent;n.d.;23;* 23,3;8323;8421,7;0;;155;156,8
Saint-Léonard;n.d.;23;* 29,4;7760;9910;0;;144;183,9
Senneville;n.d.;0;;23;* 2497,3;0;;0;
Sud-Ouest;n.d.;29;* 37,1;3944;5046,6;0;;206;263,6
Verdun;n.d.;15;* 21,7;3158;4561,7;0;;196;283,1
Ville-Marie;n.d.;25;* 28;4872;5463,7;< 5;n.p.;125;140,2
Villeray–Saint-Michel–Parc-Extension;n.d.;66;45,9;11191;7779,5;< 5;n.p.;196;136,3
Westmount;n.d.;< 5;n.p.;737;3628,4;0;;58;285,5
Territoire à confirmer;n.d.;6;;1917;;0;;25;
Total à Montréal;30;577;27,9;132520;6415,4;8;n.p.;4764;230,6
