,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1362,4,1347,15,24,0,1209,129,196795,692.09,65.55,12.20
02,02 - Saguenay–Lac-Saint-Jean,8160,53,7980,180,230,2,7347,583,277378,2941.83,210.18,82.92
03,03 - Capitale-Nationale,19089,161,18788,301,740,12,16146,2203,760147,2511.22,289.81,97.35
04,04 - Mauricie et Centre-du-Québec,10681,158,10463,218,376,8,8959,1346,524322,2037.11,256.71,71.71
05,05 - Estrie,8786,146,8402,384,195,7,7488,1103,496770,1768.63,222.03,39.25
06,06 - Montréal,77697,871,74905,2792,3947,24,64787,8963,2078464,3738.19,431.23,189.90
07,07 - Outaouais,5103,41,4757,346,130,5,4547,426,404456,1261.69,105.33,32.14
08,08 - Abitibi-Témiscamingue,452,21,418,34,5,0,335,112,147658,306.11,75.85,3.39
09,09 - Côte-Nord,312,1,299,13,3,0,293,16,89368,349.12,17.90,3.36
10,10 - Nord-du-Québec,78,2,76,2,0,0,73,5,13485,578.42,37.08,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1657,3,1638,19,43,0,1529,85,89648,1848.34,94.82,47.97
12,12 - Chaudière-Appalaches,9146,116,8890,256,201,2,7866,1079,431910,2117.57,249.82,46.54
13,13 - Laval,18372,245,16992,1380,773,1,15326,2273,446572,4114.01,508.99,173.10
14,14 - Lanaudière,16226,139,15519,707,403,0,14295,1528,524642,3092.78,291.25,76.81
15,15 - Laurentides,11990,176,11388,602,372,4,10481,1137,633508,1892.64,179.48,58.72
16,16 - Montérégie,31175,382,29739,1436,1118,9,26109,3948,1443701,2159.38,273.46,77.44
17,17 - Nunavik,29,-2,27,2,0,0,29,0,14413,201.21,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,20,0,20,0,2,0,17,1,18629,107.36,5.37,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,179,2,177,2,0,0,156,23,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,220518,2519,211829,8689,8562,74,186996,24960,8591866,2566.59,290.51,99.65
