date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,vac_quo_4_n,total_doses_1d,total_doses_2d,total_doses_3d,vac_cum_4_n,new_doses,total_doses,cvac_comp_tot_p,rap_cvac_comp_p,_1dose_15aout_p,cvac_comp_tot_n,rap_tot_n,_1dose_15aout_n,pop_tot_n,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,147,0,0,0,147,0,0,0,147,147,0,,0,0,0,0,2042463,
2020-12-15,Région,RSS06,06 - Montréal,375,0,0,0,522,0,0,0,375,522,0,,0,0,0,0,2042463,
2020-12-16,Région,RSS06,06 - Montréal,318,0,0,0,840,0,0,0,318,840,0,,0,0,0,0,2042463,
2020-12-17,Région,RSS06,06 - Montréal,292,0,0,0,1132,0,0,0,292,1132,0,,0,0,0,0,2042463,
2020-12-18,Région,RSS06,06 - Montréal,144,0,0,0,1276,0,0,0,144,1276,0,,0,0,0,0,2042463,
2020-12-19,Région,RSS06,06 - Montréal,83,0,0,0,1359,0,0,0,83,1359,0,,0,0,0,0,2042463,
2020-12-20,Région,RSS06,06 - Montréal,80,0,0,0,1439,0,0,0,80,1439,0,,0,0,0,0,2042463,
2020-12-21,Région,RSS06,06 - Montréal,319,0,0,0,1758,0,0,0,319,1758,0,,0,0,0,0,2042463,
2020-12-22,Région,RSS06,06 - Montréal,580,0,0,0,2338,0,0,0,580,2338,0,,0,0,0,0,2042463,
2020-12-23,Région,RSS06,06 - Montréal,488,0,0,0,2826,0,0,0,488,2826,0,,0,0,0,0,2042463,
2020-12-24,Région,RSS06,06 - Montréal,182,0,0,0,3008,0,0,0,182,3008,0,,0,0,0,0,2042463,
2020-12-25,Région,RSS06,06 - Montréal,0,0,0,0,3008,0,0,0,0,3008,0,,0,0,0,0,2042463,
2020-12-26,Région,RSS06,06 - Montréal,221,0,0,0,3229,0,0,0,221,3229,0,,0,0,0,0,2042463,
2020-12-27,Région,RSS06,06 - Montréal,202,0,0,0,3431,0,0,0,202,3431,0,,0,0,0,0,2042463,
2020-12-28,Région,RSS06,06 - Montréal,590,0,0,0,4021,0,0,0,590,4021,0,,0,0,0,0,2042463,
2020-12-29,Région,RSS06,06 - Montréal,559,0,0,0,4580,0,0,0,559,4580,0,,0,0,0,0,2042463,
2020-12-30,Région,RSS06,06 - Montréal,584,0,0,0,5164,0,0,0,584,5164,0,,0,0,0,0,2042463,
2020-12-31,Région,RSS06,06 - Montréal,32,0,0,0,5196,0,0,0,32,5196,0,,0,0,0,0,2042463,
2021-01-01,Région,RSS06,06 - Montréal,4,0,0,0,5200,0,0,0,4,5200,0,,0,0,0,0,2042463,
2021-01-02,Région,RSS06,06 - Montréal,14,0,0,0,5214,0,0,0,14,5214,0.0000489605,,0,1,0,0,2042463,
2021-01-03,Région,RSS06,06 - Montréal,14,0,0,0,5228,0,0,0,14,5228,0.0000489605,,0,1,0,0,2042463,
2021-01-04,Région,RSS06,06 - Montréal,560,4,0,0,5788,4,0,0,564,5792,0.0000489605,,0,1,0,0,2042463,
2021-01-05,Région,RSS06,06 - Montréal,1895,6,0,0,7683,10,0,0,1901,7693,0.0000489605,,0,1,0,0,2042463,
2021-01-06,Région,RSS06,06 - Montréal,2744,7,0,0,10427,17,0,0,2751,10444,0.000097921,,0,2,0,0,2042463,
2021-01-07,Région,RSS06,06 - Montréal,4118,0,0,0,14545,17,0,0,4118,14562,0.000195842,,0,4,0,0,2042463,
2021-01-08,Région,RSS06,06 - Montréal,3788,4,0,0,18333,21,0,0,3792,18354,0.000195842,,0,4,0,0,2042463,
2021-01-09,Région,RSS06,06 - Montréal,2038,0,0,0,20371,21,0,0,2038,20392,0.000195842,,0,4,0,0,2042463,
2021-01-10,Région,RSS06,06 - Montréal,1411,1,0,0,21782,22,0,0,1412,21804,0.000195842,,0,4,0,0,2042463,
2021-01-11,Région,RSS06,06 - Montréal,1606,2,0,0,23388,24,0,0,1608,23412,0.0002448025,,0,5,0,0,2042463,
2021-01-12,Région,RSS06,06 - Montréal,1094,1,0,0,24482,25,0,0,1095,24507,0.0002448025,,0,5,0,0,2042463,
2021-01-13,Région,RSS06,06 - Montréal,1281,0,0,0,25763,25,0,0,1281,25788,0.0002448025,,0,5,0,0,2042463,
2021-01-14,Région,RSS06,06 - Montréal,1887,1,0,0,27650,26,0,0,1888,27676,0.0002448025,,0,5,0,0,2042463,
2021-01-15,Région,RSS06,06 - Montréal,1768,1,0,0,29418,27,0,0,1769,29445,0.000293763,,0,6,0,0,2042463,
2021-01-16,Région,RSS06,06 - Montréal,1151,1,0,0,30569,28,0,0,1152,30597,0.000293763,,0,6,0,0,2042463,
2021-01-17,Région,RSS06,06 - Montréal,962,0,0,0,31531,28,0,0,962,31559,0.000293763,,0,6,0,0,2042463,
2021-01-18,Région,RSS06,06 - Montréal,1098,7,0,0,32629,35,0,0,1105,32664,0.0003427235,,0,7,0,0,2042463,
2021-01-19,Région,RSS06,06 - Montréal,1296,0,0,0,33925,35,0,0,1296,33960,0.000391684,,0,8,0,0,2042463,
2021-01-20,Région,RSS06,06 - Montréal,1583,1,0,0,35508,36,0,0,1584,35544,0.0004406445,,0,9,0,0,2042463,
2021-01-21,Région,RSS06,06 - Montréal,1961,5,0,0,37469,41,0,0,1966,37510,0.0005875259,,0,12,0,0,2042463,
