Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;n.d.;160;119,2;10356;7714,3;< 5;n.p.;478;356,1
Anjou;n.d.;45;105,2;3495;8166,7;0;;76;177,6
Baie D'urfé;n.d.;< 5;n.p.;95;2485;0;;< 5;n.p.
Beaconsfield;n.d.;14;* 72,4;471;2437,4;0;;21;* 108,7
Côte-des-Neiges–Notre-Dame-de-Grâce;n.d.;200;120,1;11792;7081,4;< 5;n.p.;364;218,6
Côte-Saint-Luc;n.d.;49;151;2800;8629,2;< 5;n.p.;117;360,6
Dollard-des-Ormeaux;n.d.;51;104,3;2789;5703,6;< 5;n.p.;123;251,5
Dorval;n.d.;14;* 73,8;800;4215;0;;67;353
Hampstead;n.d.;< 5;n.p.;386;5535,6;< 5;n.p.;6;n.p.
Kirkland;n.d.;26;* 129;759;3766,6;0;;33;* 163,8
Lachine;n.d.;34;* 76,4;2934;6594,9;0;;170;382,1
LaSalle;n.d.;108;140,5;5611;7301;0;;239;311
L'Île-Bizard–Sainte-Geneviève;n.d.;10;* 54,3;1061;5762,2;< 5;n.p.;75;407,3
Mercier–Hochelaga-Maisonneuve;n.d.;108;79,4;8657;6364,3;0;;446;327,9
Montréal Est;n.d.;< 5;n.p.;269;6987;0;;9;* 233,8
Montréal-Nord;n.d.;117;138,9;8970;10648,9;< 5;n.p.;335;397,7
Montréal-Ouest;n.d.;8;n.p.;185;3663,4;0;;< 5;n.p.
Mont-Royal;n.d.;10;* 49,3;1112;5484,3;0;;93;458,7
Outremont;n.d.;12;* 50,1;1260;5260,1;0;;28;* 116,9
Pierrefonds–Roxboro;n.d.;59;85,1;4197;6056,5;0;;83;119,8
Plateau Mont-Royal;n.d.;82;78,8;4668;4488,5;0;;172;165,4
Pointe-Claire;n.d.;9;* 28,7;1068;3403,4;< 5;n.p.;54;172,1
Rivière-des-Prairies–Pointe-aux-Trembles;n.d.;99;92,7;8877;8316,2;< 5;n.p.;314;294,2
Rosemont–La Petite Patrie;n.d.;86;61,6;6997;5012,5;0;;323;231,4
Sainte-Anne-de-Bellevue;n.d.;< 5;n.p.;138;2783,4;0;;12;* 242
Saint-Laurent;n.d.;182;184,2;8265;8363;< 5;n.p.;155;156,8
Saint-Léonard;n.d.;114;145,6;7705;9839,7;< 5;n.p.;142;181,3
Senneville;n.d.;0;;23;* 2497,3;0;;0;
Sud-Ouest;n.d.;103;131,8;3892;4980,1;0;;205;262,3
Verdun;n.d.;44;63,6;3123;4511,1;0;;195;281,7
Ville-Marie;n.d.;136;152,5;4810;5394,2;< 5;n.p.;124;139,1
Villeray–Saint-Michel–Parc-Extension;n.d.;256;178;11015;7657,1;0;;193;134,2
Westmount;n.d.;12;* 59,1;730;3593,9;0;;58;285,5
Territoire à confirmer;n.d.;26;;1898;;0;;25;
Total à Montréal;35;2183;105,7;131208;6351,9;15;*0,7;4741;229,5
