Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;18;222;165,4;11087;8258,8;0;;480;357,6
Anjou;6;66;154,2;3686;8613;0;;78;182,3
Baie D'urfé;0;< 5;n.p.;97;2537,3;0;;< 5;n.p.
Beaconsfield;5;23;* 119;531;2747,9;0;;21;* 108,7
Côte-des-Neiges–Notre-Dame-de-Grâce;11;186;111,7;12417;7456,8;0;;369;221,6
Côte-Saint-Luc;< 5;34;* 104,8;2911;8971,3;0;;119;366,7
Dollard-des-Ormeaux;6;45;92;2939;6010,3;0;;125;255,6
Dorval;< 5;12;* 63,2;851;4483,7;0;;68;358,3
Hampstead;0;10;* 143,4;425;6094,9;0;;6;n.p.
Kirkland;0;16;* 79,4;806;3999,8;0;;33;* 163,8
Lachine;6;43;96,7;3049;6853,4;0;;170;382,1
LaSalle;5;90;117,1;5929;7714,7;0;;242;314,9
L'Île-Bizard–Sainte-Geneviève;< 5;25;* 135,8;1121;6088,1;0;;76;412,8
Mercier–Hochelaga-Maisonneuve;21;191;140,4;9271;6815,7;0;;446;327,9
Montréal Est;0;9;* 233,8;296;7688,3;0;;9;* 233,8
Montréal-Nord;14;192;227,9;9558;11347;0;;336;398,9
Montréal-Ouest;0;11;* 217,8;203;4019,8;0;;< 5;n.p.
Mont-Royal;< 5;17;* 83,8;1163;5735,8;0;;93;458,7
Outremont;< 5;11;* 45,9;1302;5435,4;0;;29;* 121,1
Pierrefonds–Roxboro;14;83;119,8;4466;6444,7;0;;84;121,2
Plateau Mont-Royal;10;122;117,3;5062;4867,3;0;;172;165,4
Pointe-Claire;0;15;* 47,8;1124;3581,9;0;;54;172,1
Rivière-des-Prairies–Pointe-aux-Trembles;19;281;263,2;9513;8912,1;0;;314;294,2
Rosemont–La Petite Patrie;13;140;100,3;7441;5330,6;0;;324;232,1
Sainte-Anne-de-Bellevue;< 5;12;* 242;160;3227,1;0;;12;* 242
Saint-Laurent;< 5;125;126,5;8733;8836,6;0;;155;156,8
Saint-Léonard;18;213;272;8208;10482,1;0;;144;183,9
Senneville;< 5;< 5;n.p.;27;* 2931,6;0;;0;
Sud-Ouest;11;145;185,5;4278;5474;0;;206;263,6
Verdun;6;42;60,7;3323;4800;0;;198;286
Ville-Marie;10;144;161,5;5280;5921,3;0;;125;140,2
Villeray–Saint-Michel–Parc-Extension;15;213;148,1;11787;8193,8;< 5;n.p.;199;138,3
Westmount;0;18;* 88,6;783;3854,9;0;;58;285,5
Territoire à confirmer;< 5;64;;2060;;0;;25;
Total à Montréal;229;2825;136,8;139887;6772;< 5;n.p.;4776;231,2
