No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,1324,124,20859.333333,6347.28,595.52
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,2796,188,35045.666667,7978.16,533.98
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,1092,125,19215,5683.06,652.47
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,464,45,8566.3333333,5416.55,527.55
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,2712,309,57767,4694.72,533.64
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,827,65,17995,4595.72,362.78
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,841,71,20715.666667,4059.73,344.19
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,970,63,17574.333333,5519.41,360.06
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),11029,991,197738.33333,5577.57,501.36
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,1651,148,31025.333333,5321.46,478.44
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,1802,83,25032.333333,7198.69,332.91
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,4223,192,52510,8042.28,365.42
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,4726,376,67904,6959.83,554.10
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,5657,376,79539,7112.23,471.54
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,1456,105,22589.333333,6445.52,464.77
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),19826,1338,278600,7116.30,480.27
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,3716,327,55481.666667,6697.71,585.07
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,26287,2144,323240,8132.35,657.92
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,28192,2167,354000,7963.84,608.00
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,1720,151,28382,6060.18,531.71
03,03 - Capitale-Nationale,,Total (incluant inconnus),60588,4863,761103.66667,7960.55,634.38
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,1219,157,15084,8081.41,1040.77
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,1230,160,25787,4769.85,619.34
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,1585,195,22901,6921.10,851.86
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,3646,415,65575.666667,5559.99,629.34
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,10944,1019,145489,7522.22,696.42
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,3324,413,45106,7369.31,911.02
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,7927,745,108908.66667,7278.58,679.61
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,10295,934,98815.333333,10418.42,940.99
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),40377,4049,527666.66667,7651.99,763.55
