group,0d,1d,2d,pop 2021
0-4,87841,81,18,109960
5-11,144272,36,17,149671
12-17,29804,96779,88138,115666
18-29,10459,311791,283517,367326
30-39,31310,270413,250870,330128
40-49,20023,240950,227129,281268
50-59,11075,225580,215797,254246
60-69,866,205642,199182,219244
70-79,0,143425,139481,148691
80 plus,802,99213,94396,102264
Total 12+,104339,1593793,1498510,1818833
Total,336328,1593910,1498545,2078464
