group,0d,1d,2d,pop 2021
0-4,88682,132,6,109960
5-11,147144,20,1,149671
12-17,50348,75089,3206,115666
18-29,86404,233971,44616,367326
30-39,77563,224099,57186,330128
40-49,51574,208066,79065,281268
50-59,32389,203865,106589,254246
60-69,10849,194314,140796,219244
70-79,4811,136968,115151,148691
80 plus,4405,94294,81640,102264
Total 12+,318343,1370666,628249,1818833
Total,554169,1370818,628256,2078464
