,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1481,2,1464,17,30,0,1435,16,196934.5,752.03,8.13,15.23
02,02 - Saguenay–Lac-Saint-Jean,8770,1,8582,188,262,0,8478,30,277505,3160.30,10.82,94.41
03,03 - Capitale-Nationale,21708,39,21377,331,953,7,20129,626,757803,2864.60,82.35,125.76
04,04 - Mauricie et Centre-du-Québec,12413,36,12184,229,474,2,11488,451,523331.5,2371.92,86.02,90.57
05,05 - Estrie,10865,43,10448,417,285,0,10227,353,494966.5,2195.10,71.06,57.58
06,06 - Montréal,97995,476,95151,2844,4378,13,88011,5606,2072060.5,4729.35,269.72,211.29
07,07 - Outaouais,5942,18,5551,391,156,0,5669,117,402744,1475.38,28.93,38.73
08,08 - Abitibi-Témiscamingue,724,2,691,33,5,0,698,21,147637,490.39,14.22,3.39
09,09 - Côte-Nord,344,0,330,14,3,0,337,4,89700.5,383.50,4.48,3.34
10,10 - Nord-du-Québec,87,0,85,2,0,0,86,1,13521.5,643.42,7.42,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1690,0,1671,19,45,0,1642,3,89823,1881.48,3.35,50.10
12,12 - Chaudière-Appalaches,11285,50,11023,262,272,2,10630,383,431109.5,2617.66,88.68,63.09
13,13 - Laval,22886,113,21429,1457,848,2,20999,1039,444658.5,5146.87,232.66,190.71
14,14 - Lanaudière,19079,39,18369,710,474,2,17929,676,522367,3652.41,128.85,90.74
15,15 - Laurentides,15072,73,14475,597,452,0,14019,601,630238,2391.48,94.87,71.72
16,16 - Montérégie,39324,188,37724,1600,1392,4,35964,1968,1438226,2734.20,136.32,96.79
17,17 - Nunavik,40,0,38,2,0,0,37,3,14336.5,279.01,20.81,0.00
18,18 - Terres-Cries-de-la-Baie-James,114,0,114,0,2,0,101,11,18507,615.98,59.05,10.81
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,235,1,231,4,0,0,229,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,270058,1081,260941,9117,10031,32,248112,11915,8565469.5,3152.87,138.68,117.11
