Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif)
2021-02-06;294825;256550
2021-02-05;294825;254517
2021-02-04;256625;249 537
2021-02-03;256 625;244 577
2021-02-02;256 625;241 740
2021-02-01;256 625;241 112
2021-01-31;238100;240 736
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
