CIUSSS;Nombre de cas, les derniers 7 jours;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;27;67;17,9;20166;5390,3;< 5;n.p.;886;236,8
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;32;78;20,7;23405;6206,1;< 5;n.p.;757;200,7
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;28;57;17,4;14537;4438,2;0;;645;196,9
CIUSSS du Nord-de-l'Île-de-Montréal ;59;151;33,6;32966;7327,5;< 5;n.p.;1104;245,4
CIUSSS de l'Est-de-l'Île-de-Montréal ;52;146;27,2;39314;7321,4;0;;1346;250,7
Territoire à confirmer;8;15;;2229;;0;;26;
Total à Montréal;206;514;24,9;132617;6420,1;6;n.p.;4764;230,6
