Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,5260,994,0,0,26,98,124,4142,3673,1118,469,206,1675,221,1587,0,0,2,2,0,0,0,2
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,5817,997,0,0,68,177,245,4575,3816,1242,759,212,1984,217,2001,0,0,3,3,0,0,0,3
Région,RSS03,03 - Capitale-Nationale,Total,25129,6280,5,11,508,714,1268,17611,14741,7518,2870,1151,9966,1075,10388,46,174,32,206,0,0,0,206
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,18055,1652,1,2,258,822,1080,15320,14776,2735,544,419,4285,375,3279,0,11,15,26,0,0,0,26
Région,RSS05,05 - Estrie,Total,18989,2033,0,11,477,811,1289,15657,14687,3332,970,622,3981,524,4302,1,3,15,18,0,0,0,18
Région,RSS06,06 - Montréal,Total,122343,13820,126,285,4126,6571,11176,97415,85303,24928,12112,6890,30222,7069,37040,479,1418,451,1869,38,0,38,1907
Région,RSS07,07 - Outaouais,Total,13768,3839,17,33,173,1053,1226,8653,8369,5115,284,238,4822,778,5399,0,7,21,28,5,0,5,33
Région,RSS08,08 - Abitibi-Témiscamingue,Total,2170,103,187,0,29,40,69,1811,1707,359,104,29,256,244,463,0,2,2,4,0,0,0,4
Région,RSS09,09 - Côte-Nord,Total,1030,163,0,0,11,54,65,802,761,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,113,22,1,0,5,11,17,74,55,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,1186,185,0,0,33,56,89,912,863,274,49,38,346,37,323,0,0,0,0,0,0,0,0
Région,RSS12,12 - Chaudière-Appalaches,Total,23557,3452,1,10,500,1547,2053,18047,17368,5510,679,874,8257,1111,6189,6,27,26,53,0,0,0,53
Région,RSS13,13 - Laval,Total,28687,3280,13,23,604,2926,3558,21841,20479,6846,1362,809,7239,963,8208,28,78,29,107,1,0,1,108
Région,RSS14,14 - Lanaudière,Total,22587,1820,38,11,366,1874,2345,18478,16665,4109,1813,734,5263,770,5922,105,84,32,116,1,0,1,117
Région,RSS15,15 - Laurentides,Total,28520,2558,33,59,436,2626,3261,22808,20043,5712,2765,1114,7483,1086,8477,199,434,85,519,1,0,1,520
Région,RSS16,16 - Montérégie,Total,54016,4291,26,155,1823,2552,4448,45169,41859,8847,3310,2485,10682,1877,12157,73,263,205,468,13,0,13,481
Région,RSS00,Inconnu,Total,1720,51,1,0,133,63,198,1472,1327,248,145,31,261,175,393,2,5,9,14,1,0,1,15
Région,RSS98,Hors-Québec,Total,1438,125,11,10,201,112,313,979,880,459,99,208,321,270,558,0,12,7,19,4,0,4,23
Région,RSS99,Ensemble du Québec,Total,374385,45665,460,610,9777,22107,32824,295766,267372,78619,28394,16095,97372,16830,107013,940,2519,940,3459,64,0,64,3523

