,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4019,0,3996,23,53,0,3956,10,196934.5,2040.78,5.08,26.91,0
02,02 - Saguenay-Lac-Saint-Jean,11090,1,10867,223,271,0,10798,21,277505,3996.32,7.57,97.66,4
03,03 - Capitale-Nationale,33242,23,32888,354,1119,0,31985,138,757803,4386.63,18.15,147.66,5
04,04 - Mauricie et Centre-du-Québec,15891,16,15651,240,561,0,15156,174,523331.5,3036.51,33.19,107.20,14
05,05 - Estrie,15333,10,14814,519,355,2,14791,187,494966.5,3097.79,37.64,71.72,15
06,06 - Montréal,136540,132,133610,2930,4774,0,130322,1444,2072060.5,6589.58,69.47,230.40,163
07,07 - Outaouais,12779,14,12332,447,215,0,12473,91,402744,3172.98,22.50,53.38,5
08,08 - Abitibi-Témiscamingue,1197,1,1164,33,9,0,1181,7,147637,810.77,4.74,6.10,1
09,09 - Côte-Nord,591,0,572,19,4,0,586,1,89700.5,658.86,1.12,4.46,0
10,10 - Nord-du-Québec,114,-1,112,2,0,0,113,1,13521.5,843.10,7.42,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2083,0,2063,20,47,0,2035,1,89823,2319.01,1.12,52.33,1
12,12 - Chaudière-Appalaches,19412,9,19130,282,367,1,18996,49,431109.5,4502.80,11.34,85.13,3
13,13 - Laval,33103,43,31245,1858,919,0,31747,437,444658.5,7444.59,97.86,206.68,50
14,14 - Lanaudière,24710,25,23997,713,517,0,23923,270,522367,4730.39,51.46,98.97,29
15,15 - Laurentides,21675,19,21071,604,510,0,20931,234,630238,3439.18,36.94,80.92,28
16,16 - Montérégie,52871,49,50902,1969,1559,0,50717,595,1438226,3676.13,41.21,108.40,50
17,17 - Nunavik,50,0,48,2,0,0,49,1,14336.5,348.76,6.94,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,127,3,127,0,3,0,116,8,18507,686.23,42.94,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,634,1,629,5,0,0,607,27,.,.,.,.,3
999,Ensemble du Québec,385465,345,375221,10244,11283,3,370486,3696,8565469.5,4500.22,43.02,131.73,371

