CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;23;284;75,9;22973;6140,6;< 5;n.p.;905;241,9
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;35;473;125,4;26536;7036,4;0;;769;203,9
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;46;416;127;17109;5223,5;< 5;n.p.;656;200,3
CIUSSS du Nord-de-l'Île-de-Montréal ;36;434;96,5;37568;8350,4;< 5;n.p.;1126;250,3
CIUSSS de l'Est-de-l'Île-de-Montréal ;63;917;170,8;45771;8523,9;0;;1369;254,9
Territoire à confirmer;0;47;;2556;;0;;26;
Total à Montréal;203;2571;124,5;152513;7383,3;7;n.p.;4851;234,8
