Date;Nouveaux cas;Cumulatif de cas;
2020-02-25;1;1;
2020-02-26;0;1;
2020-02-27;0;1;
2020-02-28;0;1;
2020-02-29;0;1;
2020-03-01;1;2;
2020-03-02;2;4;
2020-03-03;0;4;
2020-03-04;0;4;
2020-03-05;0;4;
2020-03-06;0;4;
2020-03-07;0;4;
2020-03-08;1;5;
2020-03-09;1;6;
2020-03-10;2;8;
2020-03-11;3;11;
2020-03-12;3;14;
2020-03-13;2;16;
2020-03-14;5;21;
2020-03-15;6;27;
2020-03-16;5;32;
2020-03-17;7;39;
2020-03-18;6;45;
2020-03-19;35;80;
2020-03-20;49;129;
2020-03-21;91;220;
2020-03-22;88;308;
2020-03-23;132;440;
2020-03-24;145;585;
2020-03-25;184;769;
2020-03-26;179;948;
2020-03-27;239;1187;
2020-03-28;198;1385;
2020-03-29;258;1643;
2020-03-30;264;1907;
2020-03-31;329;2236;
2020-04-01;303;2539;
2020-04-02;408;2947;
2020-04-03;347;3294;
2020-04-04;340;3634;
2020-04-05;258;3892;
2020-04-06;455;4347;
2020-04-07;421;4768;
2020-04-08;372;5140;
2020-04-09;350;5490;
2020-04-10;305;5795;
2020-04-11;261;6056;
2020-04-12;327;6383;
2020-04-13;542;6925;
2020-04-14;468;7393;
2020-04-15;612;8005;
2020-04-16;496;8501;
2020-04-17;568;9069;
2020-04-18;330;9399;
2020-04-19;428;9827;
2020-04-20;480;10307;
2020-04-21;456;10763;
2020-04-22;529;11292;
2020-04-23;526;11818;
2020-04-24;491;12309;
2020-04-25;312;12621;
2020-04-26;282;12903;
2020-04-27;461;13364;
2020-04-28;470;13834;
2020-04-29;517;14351;
2020-04-30;587;14938;
2020-05-01;613;15551;
2020-05-02;525;16076;
2020-05-03;344;16420;
2020-05-04;419;16839;
2020-05-05;466;17305;
2020-05-06;568;17873;
2020-05-07;429;18302;
2020-05-08;427;18729;
2020-05-09;311;19040;
2020-05-10;297;19337;
2020-05-11;362;19699;
2020-05-12;426;20125;
2020-05-13;398;20523;
2020-05-14;352;20875;
2020-05-15;343;21218;
2020-05-16;271;21489;
2020-05-17;341;21830;
2020-05-18;330;22160;
2020-05-19;319;22479;
2020-05-20;405;22884;
2020-05-21;376;23260;
2020-05-22;256;23516;
2020-05-23;216;23732;
2020-05-24;216;23948;
2020-05-25;203;24151;
2020-05-26;239;24390;
2020-05-27;252;24642;
2020-05-28;193;24835;
2020-05-29;192;25027;
2020-05-30;205;25232;
2020-05-31;140;25372;
2020-06-01;155;25527;
2020-06-02;97;25624;
2020-06-03;114;25738;
2020-06-04;125;25863;
2020-06-05;109;25972;
2020-06-06;105;26077;
2020-06-07;75;26152;
2020-06-08;51;26203;
2020-06-09;78;26281;
2020-06-10;67;26348;
2020-06-11;66;26414;
2020-06-12;71;26485;
2020-06-13;66;26551;
2020-06-14;28;26579;
2020-06-15;56;26635;
2020-06-16;74;26709;
2020-06-17;53;26762;
2020-06-18;48;26810;
2020-06-19;64;26874;
2020-06-20;33;26907;
2020-06-21;27;26934;
2020-06-22;41;26975;
2020-06-23;40;27015;
2020-06-24;29;27044;
2020-06-25;45;27089;
2020-06-26;42;27131;
2020-06-27;30;27161;
2020-06-28;18;27179;
2020-06-29;16;27195;
2020-06-30;39;27234;
2020-07-01;23;27257;
2020-07-02;16;27273;
2020-07-03;17;27290;
2020-07-04;16;27306;
2020-07-05;7;27313;
2020-07-06;16;27329;
2020-07-07;21;27350;
2020-07-08;33;27383;
2020-07-09;52;27435;
2020-07-10;48;27483;
2020-07-11;22;27505;
2020-07-12;13;27518;
2020-07-13;75;27593;
2020-07-14;64;27657;
2020-07-15;69;27726;
2020-07-16;66;27792;
2020-07-17;99;27891;
2020-07-18;97;27988;
2020-07-19;55;28043;
2020-07-20;37;28080;
2020-07-21;61;28141;
2020-07-22;78;28219;
2020-07-23;94;28313;
2020-07-24;69;28382;
2020-07-25;34;28416;
2020-07-26;52;28468;
2020-07-27;33;28501;
2020-07-28;36;28537;
2020-07-29;68;28605;
2020-07-30;58;28663;
2020-07-31;57;28720;
2020-08-01;50;28770;
2020-08-02;31;28801;
2020-08-03;45;28846;
2020-08-04;65;28911;
2020-08-05;46;28957;
2020-08-06;21;28978;
2020-08-07;46;29024;
2020-08-08;35;29059;
2020-08-09;37;29096;
2020-08-10;34;29130;
2020-08-11;36;29166;
2020-08-12;35;29201;
2020-08-13;38;29239;
2020-08-14;29;29268;
2020-08-15;14;29282;
2020-08-16;12;29294;
2020-08-17;17;29311;
2020-08-18;17;29328;
2020-08-19;22;29350;
2020-08-20;34;29384;
2020-08-21;32;29416;
2020-08-22;19;29435;
2020-08-23;21;29456;
2020-08-24;8;29464;
2020-08-25;29;29493;
2020-08-26;41;29534;
2020-08-27;43;29577;
2020-08-28;25;29602;
2020-08-29;54;29656;
2020-08-30;14;29670;
2020-08-31;32;29702;
2020-09-01;36;29738;
2020-09-02;36;29774;
2020-09-03;72;29846;
2020-09-04;49;29895;
2020-09-05;63;29958;
2020-09-06;57;30015;
2020-09-07;50;30065;
2020-09-08;71;30136;
2020-09-09;69;30205;
2020-09-10;90;30295;
2020-09-11;107;30402;
2020-09-12;71;30473;
2020-09-13;97;30570;
2020-09-14;71;30641;
2020-09-15;92;30733;
2020-09-16;79;30812;
2020-09-17;70;30882;
2020-09-18;197;31079;
2020-09-19;141;31220;
2020-09-20;200;31420;
2020-09-21;139;31559;
2020-09-22;168;31727;
2020-09-23;254;31981;
2020-09-24;234;32215;
2020-09-25;286;32501;
2020-09-26;352;32853;
2020-09-27;273;33126;
2020-09-28;281;33407;
2020-09-29;355;33762;
2020-09-30;316;34078;
2020-10-01;311;34389;
2020-10-02;416;34805;
2020-10-03;365;35170;
2020-10-04;298;35468;
2020-10-05;277;35745;
2020-10-06;254;35999;
2020-10-07;301;36300;
2020-10-08;346;36646;
2020-10-09;283;36929;
2020-10-10;193;37122;
2020-10-11;324;37446;
2020-10-12;267;37713;
2020-10-13;200;37913;
