Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif)
2021-05-22;5829449;4929054
2021-05-21;5828149;4845183
2021-05-20;5595489;4750282
2021-05-19;5184819;4641132
2021-05-18;5036719;4549587
2021-05-17;4993429;4476436
2021-05-16;4578079;4404226
