Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;29;553;411,9;19790;14741,7;9;n.p.;523;389,6
Anjou;12;136;317,8;6795;15877,7;< 5;n.p.;84;196,3
Baie D'urfé;0;9;n.p.;286;7481;0;;< 5;n.p.
Beaconsfield;7;56;289,8;1477;7643,3;0;;26;* 134,5
Côte-des-Neiges–Notre-Dame-de-Grâce;40;624;374,7;23565;14151,5;< 5;n.p.;398;239
Côte-Saint-Luc;16;177;545,5;5247;16170,5;< 5;n.p.;127;391,4
Dollard-des-Ormeaux;14;196;400,8;5996;12262;< 5;n.p.;131;267,9
Dorval;11;93;490;2038;10737,6;0;;70;368,8
Hampstead;< 5;40;573,6;997;14298;0;;6;n.p.
Kirkland;< 5;43;213,4;1883;9344,4;0;;39;193,5
Lachine;15;181;406,8;6173;13875,3;< 5;n.p.;186;418,1
LaSalle;13;253;329,2;10953;14251,9;< 5;n.p.;258;335,7
L'Île-Bizard–Sainte-Geneviève;< 5;109;592;2313;12561,8;< 5;n.p.;79;429
Mercier–Hochelaga-Maisonneuve;28;451;331,6;19057;14010;11;*8,1;496;364,6
Montréal Est;< 5;15;* 389,6;638;16571,4;< 5;n.p.;11;* 285,7
Montréal-Nord;17;319;378,7;15089;17913,2;11;*13,1;378;448,7
Montréal-Ouest;< 5;21;* 415,8;536;10613,9;0;;< 5;n.p.
Mont-Royal;11;112;552,4;2492;12290,4;0;;95;468,5
Outremont;9;95;396,6;2741;11442,8;< 5;n.p.;30;* 125,2
Pierrefonds–Roxboro;19;244;352,1;8805;12706,2;< 5;n.p.;100;144,3
Plateau Mont-Royal;33;382;367,3;12230;11759,6;< 5;n.p.;191;183,7
Pointe-Claire;10;124;395,2;2772;8833,7;< 5;n.p.;64;204
Rivière-des-Prairies–Pointe-aux-Trembles;23;379;355,1;17457;16354,2;6;n.p.;350;327,9
Rosemont–La Petite Patrie;28;402;288;17320;12407,8;< 5;n.p.;348;249,3
Sainte-Anne-de-Bellevue;0;14;* 282,4;428;8632,5;0;;14;* 282,4
Saint-Laurent;20;322;325,8;14497;14668,9;< 5;n.p.;169;171
Saint-Léonard;17;271;346,1;14191;18122,7;< 5;n.p.;166;212
Senneville;< 5;< 5;n.p.;81;8794,8;0;;0;
Sud-Ouest;11;257;328,9;9570;12245,5;6;n.p.;227;290,5
Verdun;9;214;309,1;7416;10712,3;< 5;n.p.;211;304,8
Ville-Marie;23;301;337,6;11600;13008,9;< 5;n.p.;147;164,9
Villeray–Saint-Michel–Parc-Extension;29;421;292,7;21541;14974,3;5;n.p.;238;165,4
Westmount;5;91;448;1855;9132,5;< 5;n.p.;64;315,1
Territoire à confirmer;22;328;;7356;;< 5;;30;
Total à Montréal;483;7237;350,3;275186;13322;89;4,3;5262;254,7
