Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2568;8,5;1912,9;359;267,4
Anjou;765;2,5;1787,6;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;70;0,2;362,2;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2455;8,1;1474,3;261;156,7
Côte-Saint-Luc;570;1,9;1756,7;64;197,2
Dollard-des-Ormeaux;489;1,6;1000;83;169,7
Dorval;207;0,7;1090,6;50;263,4
Hampstead;68;0,2;975,2;< 5;n.p.
Kirkland;140;0,5;694,8;23;*114,1
Lachine;722;2,4;1622,9;100;224,8
LaSalle;1330;4,4;1730,6;183;238,1
L'Île-Bizard–Sainte-Geneviève;226;0,7;1227,4;46;249,8
Mercier–Hochelaga-Maisonneuve;2567;8,5;1887,2;373;274,2
Montréal Est;49;0,2;1272,7;5;n.p.
Montréal-Nord;2728;9;3238,6;247;293,2
Montréal-Ouest;33;0,1;*653,5;< 5;n.p.
Mont-Royal;298;1;1469,7;77;379,8
Outremont;320;1,1;1335,9;11;*45,9
Pierrefonds–Roxboro;601;2;867,3;39;56,3
Plateau Mont-Royal;1146;3,8;1101,9;140;134,6
Pointe-Claire;245;0,8;780,8;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2322;7,7;2175,3;242;226,7
Rosemont–La Petite Patrie;1850;6,1;1325,3;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1230;4,1;1244,6;120;121,4
Saint-Léonard;1271;4,2;1623,1;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1104;3,6;1412,6;182;232,9
Verdun;1065;3,5;1538,4;159;229,7
Ville-Marie;1173;3,9;1315,5;87;97,6
Villeray–Saint-Michel–Parc-Extension;2463;8,1;1712,2;131;91,1
Westmount;208;0,7;1024;37;182,2
Territoire à confirmer;685;;;44;
Total à Montréal;31021;;1501,7;3476;168,3
