Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2821,994,0,0,5,106,111,1716,1224,1105,492,188,1690,220,1597
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3375,997,0,0,12,218,230,2148,1374,1227,774,168,2037,204,2001
Région,RSS03,03 - Capitale-Nationale,Total,15747,6276,5,11,183,974,1157,8298,5185,7449,3113,866,10235,1056,10562
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7157,1652,1,2,137,892,1029,4473,3856,2684,617,334,4356,377,3301
Région,RSS05,05 - Estrie,Total,8262,2035,0,11,221,915,1136,5080,4043,3182,1037,496,4067,396,4219
Région,RSS06,06 - Montréal,Total,73457,13822,126,284,2147,8083,10230,48995,34022,24462,14973,5048,31942,5847,39435
Région,RSS07,07 - Outaouais,Total,8237,3839,17,33,103,1076,1179,3169,1799,5068,1370,178,4854,1137,6438
Région,RSS08,08 - Abitibi-Témiscamingue,Total,913,101,193,0,11,44,55,564,280,349,284,16,259,240,633
Région,RSS09,09 - Côte-Nord,Total,358,163,0,0,3,62,65,130,79,228,51,14,287,36,279
Région,RSS10,10 - Nord-du-Québec,Total,65,22,2,0,4,12,16,25,4,40,21,6,58,6,61
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,587,185,0,0,5,76,81,321,250,266,71,14,366,36,337
Région,RSS12,12 - Chaudière-Appalaches,Total,13125,3452,1,10,46,1888,1934,7728,6460,5397,1268,514,8606,770,6665
Région,RSS13,13 - Laval,Total,18661,3278,13,23,404,3092,3496,11851,8755,6810,3096,602,7438,899,9906
Région,RSS14,14 - Lanaudière,Total,11315,1820,38,11,180,1969,2149,7297,4846,4018,2451,561,5416,762,6469
Région,RSS15,15 - Laurentides,Total,12984,2559,33,59,218,2746,2964,7369,4250,5615,3119,910,7653,1012,8734
Région,RSS16,16 - Montérégie,Total,26787,4291,25,155,998,3170,4168,18148,12927,8639,5221,1780,11320,2107,13860
Région,RSS00,Inconnu,Total,489,50,1,0,21,64,85,353,147,136,206,24,260,89,342
Région,RSS98,Hors-Québec,Total,854,125,11,10,152,146,298,410,273,444,137,170,357,248,581
Région,RSS99,Ensemble du Québec,Total,205194,45661,466,609,4850,25533,30383,128075,89774,77119,38301,11889,101201,15442,115420

