,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4188,3,4166,22,54,0,4085,49,196934.5,2126.60,24.90,27.42,5
02,02 - Saguenay-Lac-Saint-Jean,11356,5,11138,218,271,0,11033,52,277505,4092.18,18.75,97.66,6
03,03 - Capitale-Nationale,34469,22,34115,354,1127,1,33125,217,757803,4548.54,28.55,148.72,23
04,04 - Mauricie et Centre-du-Québec,17460,17,17222,238,569,0,16623,268,523331.5,3336.32,51.11,108.73,36
05,05 - Estrie,16993,26,16482,511,368,0,16308,317,494966.5,3433.16,63.81,74.35,23
06,06 - Montréal,147543,127,144610,2933,4823,1,141213,1507,2072060.5,7120.59,72.51,232.76,139
07,07 - Outaouais,14167,11,13719,448,222,0,13760,185,402744,3517.62,45.74,55.12,27
08,08 - Abitibi-Témiscamingue,1268,2,1235,33,10,1,1240,18,147637,858.86,12.19,6.77,3
09,09 - Côte-Nord,669,4,648,21,5,0,614,50,89700.5,745.82,55.95,5.57,0
10,10 - Nord-du-Québec,137,0,135,2,0,0,136,1,13521.5,1013.20,7.42,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2190,1,2169,21,48,0,2127,15,89823,2438.13,16.73,53.44,5
12,12 - Chaudière-Appalaches,21817,35,21544,273,375,0,20875,567,431109.5,5060.66,131.28,86.98,67
13,13 - Laval,36703,33,34775,1928,935,2,35351,417,444658.5,8254.20,93.38,210.27,41
14,14 - Lanaudière,27128,16,26418,710,527,0,26278,323,522367,5193.28,61.57,100.89,45
15,15 - Laurentides,24802,28,24199,603,526,0,23983,293,630238,3935.34,46.25,83.46,44
16,16 - Montérégie,57840,74,55916,1924,1583,0,55461,796,1438226,4021.62,55.14,110.07,79
17,17 - Nunavik,65,1,63,2,0,0,55,10,14336.5,453.39,69.38,0.00,1
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,137,0,18507,767.28,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1188,5,1181,7,1,0,1164,23,.,.,.,.,4
999,Ensemble du Québec,420129,410,409880,10249,11449,5,403572,5108,8565469.5,4904.92,59.45,133.66,548

