group,1d,2d,pop 2021
0-11,483,97,1079338
12-17,472039,399471,529446
18-29,970736,828475,1216440
30-39,913949,810900,1118629
40-49,958271,887396,1115327
50-59,1032225,973688,1155183
60-69,1087685,1059029,1168854
70-79,741398,731200,783129
80 plus,394843,383590,425520
Total 12+,6571146,6073749,7512528
Total,6571629,6073846,8591866
