group,1d,2d,3d,pop 2021
0-4,19196,2862,11,428991
5-11,437949,332822,7979,650347
12-17,532262,509337,105396,529446
18-29,1115466,1057012,442547,1216440
30-39,1023224,983732,509625,1118629
40-49,1028981,1004933,647812,1115327
50-59,1081611,1056340,797194,1155183
60-69,1117457,1105818,996059,1168854
70-79,755074,753887,722843,783129
80 plus,401064,401565,390308,425520
Total 5+,7493088,7205446,4619763,8162875
Total,7512284,7208308,4619774,8591866
