,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1066,15,1053,13,24,0,861,181,197074,540.91,91.84,12.18
02,02 - Saguenay–Lac-Saint-Jean,6152,90,5991,161,164,3,5267,721,277632,2215.88,259.70,59.07
03,03 - Capitale-Nationale,13762,207,13501,261,508,6,11297,1957,755459,1821.67,259.05,67.24
04,04 - Mauricie et Centre-du-Québec,7862,87,7653,209,303,19,6598,961,522341,1505.15,183.98,58.01
05,05 - Estrie,5811,88,5481,330,88,2,4699,1024,493163,1178.31,207.64,17.84
06,06 - Montréal,56420,512,53652,2768,3700,12,47852,4868,2065657,2731.33,235.66,179.12
07,07 - Outaouais,3908,75,3618,290,90,1,3475,343,401032,974.49,85.53,22.44
08,08 - Abitibi-Témiscamingue,298,2,265,33,4,0,266,28,147616,201.88,18.97,2.71
09,09 - Côte-Nord,227,9,214,13,2,0,209,16,90033,252.13,17.77,2.22
10,10 - Nord-du-Québec,57,0,55,2,0,0,54,3,13558,420.42,22.13,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1464,9,1445,19,42,0,1344,78,89998,1626.70,86.67,46.67
12,12 - Chaudière-Appalaches,6265,95,6021,244,148,0,5433,684,430309,1455.93,158.96,34.39
13,13 - Laval,12871,94,11628,1243,732,0,11010,1129,442745,2907.09,255.00,165.33
14,14 - Lanaudière,12533,85,11830,703,359,4,10962,1212,520092,2409.77,233.04,69.03
15,15 - Laurentides,8683,104,8087,596,343,1,7742,598,626968,1384.92,95.38,54.71
16,16 - Montérégie,22465,239,21125,1340,927,5,19411,2127,1432751,1567.96,148.46,64.70
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,17,0,17,0,1,0,15,1,18385,92.47,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,131,2,129,2,0,0,120,11,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,160023,1713,151794,8229,7435,53,136646,15942,8539073,1874.01,186.69,87.07
