Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptif,nbrOmicronSanger,nbrOmicronSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,3465,994,0,0,26,98,124,2347,1878,1118,469,206,1675,221,1587,0,0,0,0
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,4014,997,0,0,68,177,245,2772,2014,1242,758,212,1984,216,2000,0,0,0,0
Région,RSS03,03 - Capitale-Nationale,Total,18760,6280,5,11,507,714,1221,11243,8373,7517,2870,1151,9966,1074,10387,18,0,0,18
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,10459,1652,1,2,258,822,1080,7724,7180,2735,544,419,4285,375,3279,2,0,0,2
Région,RSS05,05 - Estrie,Total,14277,2033,0,11,473,811,1284,10949,9979,3328,970,622,3981,520,4298,4,0,0,4
Région,RSS06,06 - Montréal,Total,90540,13820,126,285,4105,6571,10676,65633,53521,24907,12112,6890,30222,7048,37019,115,8,0,123
Région,RSS07,07 - Outaouais,Total,9308,3839,17,33,170,1053,1223,4196,3912,5112,284,238,4822,775,5396,10,2,0,12
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1275,103,187,0,29,40,69,916,812,359,104,29,256,244,463,0,0,0,0
Région,RSS09,09 - Côte-Nord,Total,576,163,0,0,11,54,65,348,307,228,41,22,279,33,269,0,0,0,0
Région,RSS10,10 - Nord-du-Québec,Total,77,22,1,0,5,11,16,38,19,39,19,13,50,5,58,0,0,0,0
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,794,185,0,0,33,56,89,520,471,274,49,38,346,37,323,0,0,0,0
Région,RSS12,12 - Chaudière-Appalaches,Total,18281,3452,1,10,497,1547,2044,12774,12095,5507,679,874,8257,1108,6186,20,0,0,20
Région,RSS13,13 - Laval,Total,22506,3280,13,23,591,2926,3517,15673,14311,6833,1362,809,7239,950,8195,3,0,0,3
Région,RSS14,14 - Lanaudière,Total,14844,1820,38,11,364,1874,2238,10737,8924,4107,1813,734,5263,768,5920,6,0,0,6
Région,RSS15,15 - Laurentides,Total,17960,2558,33,59,428,2626,3054,12256,9491,5704,2765,1114,7483,1078,8469,22,0,0,22
Région,RSS16,16 - Montérégie,Total,35117,4291,26,155,1814,2552,4366,26279,22969,8838,3310,2485,10682,1868,12148,109,2,0,111
Région,RSS00,Inconnu,Total,1444,51,1,0,133,63,196,1196,1051,248,145,31,261,175,393,2,1,0,3
Région,RSS98,Hors-Québec,Total,1054,125,11,10,196,112,308,600,501,454,99,208,321,265,553,2,4,0,6
Région,RSS99,Ensemble du Québec,Total,264751,45665,460,610,9708,22107,31815,186201,157808,78550,28393,16095,97372,16760,106943,313,17,0,330

