Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;16;142;105,8;20182;15033,7;< 5;n.p.;528;393,3
Anjou;< 5;47;109,8;6903;16130;0;;84;196,3
Baie D'urfé;< 5;7;n.p.;297;7768,8;0;;< 5;n.p.
Beaconsfield;< 5;21;* 108,7;1559;8067,7;0;;27;* 139,7
Côte-des-Neiges–Notre-Dame-de-Grâce;17;198;118,9;24046;14440,3;< 5;n.p.;407;244,4
Côte-Saint-Luc;< 5;45;138,7;5379;16577,3;0;;129;397,6
Dollard-des-Ormeaux;8;79;161,6;6190;12658,7;0;;131;267,9
Dorval;9;30;* 158,1;2102;11074,8;0;;70;368,8
Hampstead;< 5;31;* 444,6;1076;15430,9;0;;6;n.p.
Kirkland;0;36;* 178,7;1949;9672;0;;40;198,5
Lachine;6;53;119,1;6323;14212,5;0;;189;424,8
LaSalle;< 5;75;97,6;11156;14516;< 5;n.p.;260;338,3
L'Île-Bizard–Sainte-Geneviève;< 5;33;* 179,2;2393;12996,3;0;;79;429
Mercier–Hochelaga-Maisonneuve;17;202;148,5;19514;14346;< 5;n.p.;499;366,8
Montréal Est;< 5;12;* 311,7;660;17142,9;0;;11;* 285,7
Montréal-Nord;6;77;91,4;15315;18181,5;< 5;n.p.;387;459,4
Montréal-Ouest;< 5;10;* 198;562;11128,7;0;;< 5;n.p.
Mont-Royal;7;38;187,4;2593;12788,5;0;;95;468,5
Outremont;< 5;34;* 141,9;2840;11856,1;0;;30;* 125,2
Pierrefonds–Roxboro;< 5;76;109,7;8995;12980,4;< 5;n.p.;103;148,6
Plateau Mont-Royal;16;125;120,2;12541;12058,7;< 5;n.p.;194;186,5
Pointe-Claire;< 5;38;121,1;2866;9133,2;0;;64;204
Rivière-des-Prairies–Pointe-aux-Trembles;9;141;132,1;17816;16690,6;0;;352;329,8
Rosemont–La Petite Patrie;15;169;121,1;17756;12720,1;0;;352;252,2
Sainte-Anne-de-Bellevue;< 5;12;* 242;454;9156,9;0;;14;* 282,4
Saint-Laurent;13;135;136,6;14818;14993,7;0;;171;173
Saint-Léonard;9;86;109,8;14415;18408,8;0;;167;213,3
Senneville;0;< 5;n.p.;86;9337,7;0;;0;
Sud-Ouest;8;109;139,5;9778;12511,7;0;;228;291,7
Verdun;< 5;100;144,4;7626;11015,6;0;;211;304,8
Ville-Marie;21;173;194;11954;13405,9;< 5;n.p.;152;170,5
Villeray–Saint-Michel–Parc-Extension;13;156;108,4;21896;15221,1;< 5;n.p.;243;168,9
Westmount;< 5;57;280,6;1993;9811,9;0;;64;315,1
Territoire à confirmer;11;86;;7450;;0;;31;
Total à Montréal;241;2635;127,6;281484;13626,9;14;*0,7;5324;257,7
