Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;61;104;77,5;10716;7982,4;0;;480;357,6
Anjou;30;42;98,1;3587;8381,6;0;;78;182,3
Baie D'urfé;0;0;;95;2485;0;;< 5;n.p.
Beaconsfield;6;8;n.p.;498;2577,1;0;;21;* 108,7
Côte-des-Neiges–Notre-Dame-de-Grâce;72;108;64,9;12082;7255,6;0;;369;221,6
Côte-Saint-Luc;11;19;* 58,6;2851;8786,4;0;;118;363,7
Dollard-des-Ormeaux;18;37;75,7;2869;5867,2;0;;125;255,6
Dorval;6;8;n.p.;835;4399,4;0;;68;358,3
Hampstead;< 5;9;* 129,1;405;5808,1;0;;6;n.p.
Kirkland;< 5;< 5;n.p.;779;3865,8;0;;33;* 163,8
Lachine;11;16;* 36;2979;6696;0;;170;382,1
LaSalle;39;66;85,9;5761;7496,1;0;;242;314,9
L'Île-Bizard–Sainte-Geneviève;< 5;8;n.p.;1086;5898;0;;76;412,8
Mercier–Hochelaga-Maisonneuve;62;92;67,6;8970;6594,4;0;;446;327,9
Montréal Est;0;0;;277;7194,8;0;;9;* 233,8
Montréal-Nord;62;112;133;9265;10999,1;0;;336;398,9
Montréal-Ouest;0;0;;192;3802;0;;< 5;n.p.
Mont-Royal;10;12;* 59,2;1133;5587,9;0;;93;458,7
Outremont;7;10;* 41,7;1286;5368,6;0;;29;* 121,1
Pierrefonds–Roxboro;27;50;72,2;4325;6241,3;0;;84;121,2
Plateau Mont-Royal;26;59;56,7;4857;4670,2;0;;172;165,4
Pointe-Claire;7;9;* 28,7;1093;3483,1;0;;54;172,1
Rivière-des-Prairies–Pointe-aux-Trembles;51;84;78,7;9118;8542;0;;314;294,2
Rosemont–La Petite Patrie;40;65;46,6;7201;5158,7;0;;324;232,1
Sainte-Anne-de-Bellevue;< 5;< 5;n.p.;145;2924,6;0;;12;* 242
Saint-Laurent;60;102;103,2;8502;8602,8;0;;155;156,8
Saint-Léonard;32;56;71,5;7885;10069,6;0;;144;183,9
Senneville;0;0;;23;* 2497,3;0;;0;
Sud-Ouest;26;49;62,7;4052;5184,8;0;;206;263,6
Verdun;33;40;57,8;3231;4667,1;0;;198;286
Ville-Marie;40;71;79,6;5022;5631,9;0;;125;140,2
Villeray–Saint-Michel–Parc-Extension;61;98;68,1;11411;7932,4;< 5;n.p.;198;137,6
Westmount;5;9;n.p.;752;3702,2;0;;58;285,5
Territoire à confirmer;52;66;;1966;;0;;25;
Total à Montréal;865;1415;68,5;135249;6547,5;< 5;n.p.;4774;231,1
