,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,3989,0,3963,26,53,0,3932,4,196934.5,2025.55,2.03,26.91,3
02,02 - Saguenay-Lac-Saint-Jean,11075,11,10852,223,271,0,10786,18,277505,3990.92,6.49,97.66,0
03,03 - Capitale-Nationale,33099,18,32746,353,1119,0,31860,120,757803,4367.76,15.79,147.66,8
04,04 - Mauricie et Centre-du-Québec,15709,23,15469,240,525,0,15043,141,523331.5,3001.73,26.89,100.32,34
05,05 - Estrie,15150,15,14633,517,352,0,14632,166,494966.5,3060.81,33.42,71.12,7
06,06 - Montréal,135249,140,132320,2929,4774,0,129444,1031,2072060.5,6527.27,49.60,230.40,102
07,07 - Outaouais,12692,11,12245,447,215,0,12416,61,402744,3151.38,15.08,53.38,4
08,08 - Abitibi-Témiscamingue,1188,-2,1155,33,9,0,1151,28,147637,804.68,18.96,6.10,4
09,09 - Côte-Nord,589,0,570,19,4,0,583,2,89700.5,656.63,2.24,4.46,0
10,10 - Nord-du-Québec,113,0,111,2,0,0,110,3,13521.5,835.71,22.25,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2080,1,2060,20,47,0,2027,6,89823,2315.67,6.69,52.33,0
12,12 - Chaudière-Appalaches,19367,5,19085,282,367,0,18961,39,431109.5,4492.36,9.03,85.13,2
13,13 - Laval,32701,81,30849,1852,917,0,31346,438,444658.5,7354.18,98.08,206.23,35
14,14 - Lanaudière,24478,28,23765,713,517,0,23751,210,522367,4685.98,40.03,98.97,14
15,15 - Laurentides,21421,16,20817,604,510,0,20731,180,630238,3398.87,28.41,80.92,13
16,16 - Montérégie,52333,60,50368,1965,1559,0,50325,449,1438226,3638.72,31.10,108.40,29
17,17 - Nunavik,49,0,47,2,0,0,48,1,14336.5,341.78,6.94,0.00,1
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,591,2,586,5,0,0,564,27,.,.,.,.,5
999,Ensemble du Québec,381996,409,371763,10233,11242,0,367830,2924,8565469.5,4459.72,34.03,131.25,261

