Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif)
2021-05-26;5877419;5202132
2021-05-25;5829449;5115679
2021-05-24;5829449;5055968
2021-05-23;5829449;5003629
2021-05-22;5829449;4935004
2021-05-21;5828149;4849850
2021-05-20;5595489;4753609
