Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;55;437;325,5;20830;15516,4;0;;528;393,3
Anjou;11;108;252,4;7076;16534,3;< 5;n.p.;86;201
Baie D'urfé;< 5;13;* 340;323;8448,9;0;;< 5;n.p.
Beaconsfield;< 5;67;346,7;1670;8642,1;0;;26;* 134,5
Côte-des-Neiges–Notre-Dame-de-Grâce;67;510;306,3;24823;14906,9;< 5;n.p.;410;246,2
Côte-Saint-Luc;22;175;539,3;5651;17415,6;0;;129;397,6
Dollard-des-Ormeaux;13;162;331,3;6449;13188,4;0;;131;267,9
Dorval;10;86;453,1;2222;11707,1;0;;70;368,8
Hampstead;7;83;1190,3;1211;17367;0;;6;n.p.
Kirkland;5;74;367,2;2067;10257,6;0;;40;198,5
Lachine;15;148;332,7;6535;14689;0;;191;429,3
LaSalle;40;227;295,4;11492;14953,2;0;;260;338,3
L'Île-Bizard–Sainte-Geneviève;5;47;255,3;2497;13561,1;0;;79;429
Mercier–Hochelaga-Maisonneuve;47;456;335,2;20190;14843;0;;500;367,6
Montréal Est;< 5;14;* 363,6;682;17714,3;0;;11;* 285,7
Montréal-Nord;19;157;186,4;15560;18472,4;< 5;n.p.;389;461,8
Montréal-Ouest;6;24;* 475,2;602;11920,8;0;;< 5;n.p.
Mont-Royal;10;110;542,5;2757;13597,4;0;;95;468,5
Outremont;16;111;463,4;3017;12595;0;;31;* 129,4
Pierrefonds–Roxboro;12;185;267;9286;13400,3;0;;103;148,6
Plateau Mont-Royal;45;455;437,5;13246;12736,5;0;;194;186,5
Pointe-Claire;17;96;305,9;3037;9678,1;0;;65;207,1
Rivière-des-Prairies–Pointe-aux-Trembles;36;293;274,5;18248;17095,3;0;;353;330,7
Rosemont–La Petite Patrie;73;570;408,3;18603;13326,9;< 5;n.p.;355;254,3
Sainte-Anne-de-Bellevue;< 5;22;* 443,7;502;10125,1;0;;14;* 282,4
Saint-Laurent;32;263;266,1;15208;15388,4;< 5;n.p.;172;174
Saint-Léonard;22;156;199,2;14672;18737;0;;168;214,5
Senneville;0;0;;91;9880,6;0;;0;
Sud-Ouest;25;281;359,6;10209;13063,2;< 5;n.p.;230;294,3
Verdun;24;215;310,6;7970;11512,5;< 5;n.p.;212;306,2
Ville-Marie;41;378;423,9;12502;14020,4;< 5;n.p.;155;173,8
Villeray–Saint-Michel–Parc-Extension;43;411;285,7;22496;15638,2;0;;245;170,3
Westmount;19;154;758,2;2238;11018,1;0;;64;315,1
Territoire à confirmer;57;353;;7881;;0;;31;
Total à Montréal;804;6841;331,2;291844;14128,4;10;*0,5;5349;258,9
