group,0d,1d,2d,3d,pop 2021
0-4,0,85,18,0,109960
5-11,0,82206,56544,0,149671
12-17,0,100045,92799,0,115666
18-29,0,327135,304545,0,367326
30-39,0,284062,268735,0,330128
40-49,0,250778,240139,0,281268
50-59,0,231047,223526,0,254246
60-69,0,211236,205806,0,219244
70-79,0,147727,144467,0,148691
80 plus,0,103966,100035,0,102264
Total 12+,0,1655996,1580052,0,1818833
Total,0,1738287,1636614,0,2078464
