Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;20;405;301,7;8273;6162,6;6;n.p.;451;336
Anjou;< 5;156;364,5;2748;6421,2;< 5;n.p.;68;158,9
Baie D'urfé;0;0;;67;1752,6;0;;< 5;n.p.
Beaconsfield;5;21;* 108,7;357;1847,4;0;;17;* 88
Côte-des-Neiges–Notre-Dame-de-Grâce;31;418;251;9093;5460,6;6;n.p.;341;204,8
Côte-Saint-Luc;16;108;332,8;2070;6379,4;< 5;n.p.;108;332,8
Dollard-des-Ormeaux;5;92;188,1;2084;4261,8;< 5;n.p.;118;241,3
Dorval;0;34;* 179,1;642;3382,5;0;;67;353
Hampstead;< 5;14;* 200,8;312;4474,4;< 5;n.p.;< 5;n.p.
Kirkland;< 5;23;* 114,1;522;2590,4;0;;31;* 153,8
Lachine;14;142;319,2;2432;5466,5;< 5;n.p.;165;370,9
LaSalle;15;219;285;4346;5655;< 5;n.p.;232;301,9
L'Île-Bizard–Sainte-Geneviève;7;31;* 168,4;838;4551,1;0;;72;391
Mercier–Hochelaga-Maisonneuve;28;372;273,5;7074;5200,6;< 5;n.p.;429;315,4
Montréal Est;< 5;14;* 363,6;220;5714,3;0;;7;n.p.
Montréal-Nord;35;396;470,1;7652;9084,2;5;n.p.;321;381,1
Montréal-Ouest;0;0;;121;2396;0;;< 5;n.p.
Mont-Royal;< 5;33;* 162,8;916;4517,7;< 5;n.p.;92;453,7
Outremont;6;45;187,9;1034;4316,6;< 5;n.p.;21;* 87,7
Pierrefonds–Roxboro;30;196;282,8;3141;4532,7;< 5;n.p.;76;109,7
Plateau Mont-Royal;8;212;203,8;3614;3475;< 5;n.p.;168;161,5
Pointe-Claire;5;22;* 70,1;816;2600,4;0;;51;162,5
Rivière-des-Prairies–Pointe-aux-Trembles;29;427;400;7397;6929,7;< 5;n.p.;303;283,9
Rosemont–La Petite Patrie;13;241;172,6;5767;4131,4;< 5;n.p.;314;224,9
Sainte-Anne-de-Bellevue;< 5;5;n.p.;111;2238,8;0;;12;* 242
Saint-Laurent;24;426;431,1;5914;5984,1;8;n.p.;139;140,6
Saint-Léonard;24;506;646,2;6278;8017,4;5;n.p.;117;149,4
Senneville;< 5;< 5;n.p.;22;* 2388,7;0;;0;
Sud-Ouest;< 5;106;135,6;3112;3982;< 5;n.p.;202;258,5
Verdun;< 5;117;169;2504;3617;< 5;n.p.;191;275,9
Ville-Marie;0;128;143,5;3843;4309,7;< 5;n.p.;113;126,7
Villeray–Saint-Michel–Parc-Extension;23;476;330,9;8721;6062,4;5;n.p.;172;119,6
Westmount;0;13;* 64;601;2958,8;0;;55;270,8
Territoire à confirmer;< 5;50;;1670;;< 5;;24;
Total à Montréal;360;5449;263,8;104312;5049,8;69;3,3;4487;217,2
