Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif)
2021-05-16;4578079;4396507
2021-05-15;4578079;4324806
2021-05-14;4578079;4233594
2021-05-13;4578079;4132884
2021-05-12;4578079;4019734
2021-05-11;4578079;3923845
2021-05-10;4532449;3848637
