Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;25;466;347,1;19916;14835,6;< 5;n.p.;523;389,6
Anjou;< 5;115;268,7;6831;15961,8;< 5;n.p.;84;196,3
Baie D'urfé;0;5;n.p.;288;7533,4;0;;< 5;n.p.
Beaconsfield;10;70;362,2;1508;7803,8;0;;26;* 134,5
Côte-des-Neiges–Notre-Dame-de-Grâce;26;510;306,3;23714;14240,9;< 5;n.p.;401;240,8
Côte-Saint-Luc;10;148;456,1;5292;16309,2;< 5;n.p.;127;391,4
Dollard-des-Ormeaux;9;168;343,6;6046;12364,3;< 5;n.p.;131;267,9
Dorval;< 5;71;374,1;2055;10827,2;0;;70;368,8
Hampstead;< 5;34;* 487,6;1011;14498,8;0;;6;n.p.
Kirkland;< 5;33;* 163,8;1895;9404;< 5;n.p.;40;198,5
Lachine;5;179;402,3;6229;14001,2;< 5;n.p.;187;420,3
LaSalle;14;226;294,1;11019;14337,8;< 5;n.p.;258;335,7
L'Île-Bizard–Sainte-Geneviève;< 5;101;548,5;2339;12703;< 5;n.p.;79;429
Mercier–Hochelaga-Maisonneuve;43;391;287,4;19220;14129,9;< 5;n.p.;497;365,4
Montréal Est;< 5;14;* 363,6;645;16753,2;0;;11;* 285,7
Montréal-Nord;20;264;313,4;15179;18020;6;n.p.;378;448,7
Montréal-Ouest;< 5;28;* 554,5;547;10831,7;0;;< 5;n.p.
Mont-Royal;10;103;508;2522;12438,4;0;;95;468,5
Outremont;7;93;388,2;2767;11551,3;< 5;n.p.;30;* 125,2
Pierrefonds–Roxboro;12;204;294,4;8867;12795,6;< 5;n.p.;100;144,3
Plateau Mont-Royal;19;366;351,9;12325;11851;< 5;n.p.;192;184,6
Pointe-Claire;10;120;382,4;2801;8926,1;< 5;n.p.;64;204
Rivière-des-Prairies–Pointe-aux-Trembles;36;339;317,6;17563;16453,5;< 5;n.p.;350;327,9
Rosemont–La Petite Patrie;34;406;290,9;17466;12512,4;< 5;n.p.;349;250
Sainte-Anne-de-Bellevue;< 5;15;* 302,5;433;8733,4;0;;14;* 282,4
Saint-Laurent;16;303;306,6;14601;14774,2;< 5;n.p.;171;173
Saint-Léonard;27;247;315,4;14274;18228,7;< 5;n.p.;166;212
Senneville;0;6;n.p.;84;9120,5;0;;0;
Sud-Ouest;15;205;262,3;9614;12301,8;< 5;n.p.;228;291,7
Verdun;13;206;297,6;7479;10803,3;< 5;n.p.;211;304,8
Ville-Marie;30;286;320,7;11701;13122,1;< 5;n.p.;148;166
Villeray–Saint-Michel–Parc-Extension;30;369;256,5;21662;15058,4;< 5;n.p.;240;166,8
Westmount;10;83;408,6;1891;9309,8;< 5;n.p.;64;315,1
Territoire à confirmer;-14;199;;7320;;0;;30;
Total à Montréal;440;6373;308,5;277105;13414,9;53;2,6;5276;255,4
