Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      4541,      2854,       62.8,       873,       19.2,       814,       17.9,        63,n.d.,n.d.,n.d.,n.d.,        53,       84.1
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     11399,      5953,       52.2,      2475,       21.7,      2971,       26.1,       272,n.d.,n.d.,n.d.,n.d.,       259,       95.2
Région,RSS03,03 - Capitale-Nationale,     34590,     20414,       59.0,      6544,       18.9,      7632,       22.1,      1128,        17,        1.5,        79,        7.0,      1032,       91.5
Région,RSS04,04 - Mauricie et Centre-du-Québec,     18425,     11046,       60.0,      3437,       18.7,      3942,       21.4,       572,        11,        1.9,        23,        4.0,       538,       94.1
Région,RSS05,05 - Estrie,     20352,     12634,       62.1,      3863,       19.0,      3855,       18.9,       379,        10,        2.6,        17,        4.5,       352,       92.9
Région,RSS06,06 - Montréal,    141917,     84925,       59.8,     24998,       17.6,     31994,       22.5,      4765,       128,        2.7,       197,        4.1,      4440,       93.2
Région,RSS07,07 - Outaouais,     13291,      8735,       65.7,      2114,       15.9,      2442,       18.4,       218,         6,        2.8,        11,        5.0,       201,       92.2
Région,RSS08,08 - Abitibi-Témiscamingue,      1486,       906,       61.0,       307,       20.7,       273,       18.4,        13,n.d.,n.d.,n.d.,n.d.,        12,       92.3
Région,RSS09,09 - Côte-Nord,       795,       537,       67.5,       135,       17.0,       123,       15.5,         5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       131,        79,       60.3,        24,       18.3,        28,       21.4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      2278,      1193,       52.4,       442,       19.4,       643,       28.2,        48,n.d.,n.d.,n.d.,n.d.,        44,       91.7
Région,RSS12,12 - Chaudière-Appalaches,     24413,     15404,       63.1,      4577,       18.7,      4432,       18.2,       385,         8,        2.1,        22,        5.7,       355,       92.2
Région,RSS13,13 - Laval,     37546,     23606,       62.9,      7197,       19.2,      6743,       18.0,       927,         7,        0.8,        48,        5.2,       872,       94.1
Région,RSS14,14 - Lanaudière,     28463,     17483,       61.4,      5562,       19.5,      5418,       19.0,       530,        11,        2.1,        16,        3.0,       503,       94.9
Région,RSS15,15 - Laurentides,     26990,     16782,       62.2,      5034,       18.7,      5174,       19.2,       526,        10,        1.9,        16,        3.0,       500,       95.1
Région,RSS16,16 - Montérégie,     59358,     35308,       59.5,     11297,       19.0,     12753,       21.5,      1590,        29,        1.8,        60,        3.8,      1501,       94.4
Région,RSS17,17 - Nunavik,       918,       609,       66.3,       138,       15.0,       171,       18.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       136,        82,       60.3,        22,       16.2,        32,       23.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    427097,    258602,       60.5,     79051,       18.5,     89444,       20.9,     11426,       247,        2.2,       509,        4.5,     10670,       93.4
Groupe d'âge,0_9,Moins de 10 ans,     46598,     39700,       85.2,      5621,       12.1,      1277,        2.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     57392,     48018,       83.7,      7763,       13.5,      1611,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     61225,     49104,       80.2,      8957,       14.6,      3164,        5.2,         8,n.d.,n.d.,n.d.,n.d.,         5,       62.5
Groupe d'âge,30_39,30-39 ans,     60029,     41655,       69.4,     12479,       20.8,      5895,        9.8,        25,n.d.,n.d.,n.d.,n.d.,        20,       80.0
Groupe d'âge,40_49,40-49 ans,     62994,     39552,       62.8,     14821,       23.5,      8621,       13.7,        61,        14,       23.0,        12,       19.7,        35,       57.4
Groupe d'âge,50_59,50-59 ans,     53571,     26582,       49.6,     14791,       27.6,     12198,       22.8,       229,        17,        7.4,        16,        7.0,       196,       85.6
Groupe d'âge,60_69,60-69 ans,     32985,     10776,       32.7,      8874,       26.9,     13335,       40.4,       747,        42,        5.6,        59,        7.9,       646,       86.5
Groupe d'âge,70_79,70-79 ans,     20529,      2359,       11.5,      3507,       17.1,     14663,       71.4,      2240,        41,        1.8,       120,        5.4,      2079,       92.8
Groupe d'âge,80_89,80-89 ans,     20195,       619,        3.1,      1618,        8.0,     17958,       88.9,      4452,        59,        1.3,       171,        3.8,      4222,       94.8
Groupe d'âge,90_,90 ans et plus,     11579,       237,        2.0,       620,        5.4,     10722,       92.6,      3662,        68,        1.9,       129,        3.5,      3465,       94.6
