CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;64;466;124,6;45039;12038,7;< 5;n.p.;983;262,8
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;101;562;149;48840;12950,5;< 5;n.p.;840;222,7
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;80;462;141,1;37276;11380,5;< 5;n.p.;722;220,4
CIUSSS du Nord-de-l'Île-de-Montréal ;65;467;103,8;65125;14475,6;< 5;n.p.;1250;277,8
CIUSSS de l'Est-de-l'Île-de-Montréal ;85;551;102,6;80530;14997;< 5;n.p.;1512;281,6
Territoire à confirmer;10;119;;8355;;0;;32;
Total à Montréal;405;2627;127,2;285165;13805,1;9;n.p.;5339;258,5
