Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif)
2021-05-21;5828149;4843635
2021-05-20;5595489;4749560
2021-05-19;5184819;4640713
2021-05-18;5036719;4549212
2021-05-17;4993429;4476075
2021-05-16;4578079;4403885
2021-05-15;4578079;4330193
