Sexe;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Masculin;339;5929;578,4;38880;3793,1;61;6;1805;176,1
Féminin;386;6407;615,7;44216;4248,9;62;6;2195;210,9
Inconnu;< 5;10;;114;;0;;< 5;
Total à Montréal;727;12346;597,7;83210;4028,3;123;6;4001;193,7
