,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1408,4,1393,15,25,0,1295,88,196795,715.47,44.72,12.70
02,02 - Saguenay–Lac-Saint-Jean,8438,30,8255,183,239,2,7755,444,277378,3042.06,160.07,86.16
03,03 - Capitale-Nationale,19884,147,19581,303,791,5,17339,1754,760147,2615.81,230.74,104.06
04,04 - Mauricie et Centre-du-Québec,11176,74,10958,218,388,1,9634,1154,524322,2131.51,220.09,74.00
05,05 - Estrie,9480,118,9085,395,217,2,8252,1011,496770,1908.33,203.51,43.68
06,06 - Montréal,83210,727,80409,2801,4001,9,70341,8868,2078464,4003.44,426.66,192.50
07,07 - Outaouais,5393,37,5037,356,137,1,4829,427,404456,1333.40,105.57,33.87
08,08 - Abitibi-Témiscamingue,589,8,555,34,5,0,402,182,147658,398.89,123.26,3.39
09,09 - Côte-Nord,320,3,307,13,3,0,305,12,89368,358.07,13.43,3.36
10,10 - Nord-du-Québec,88,6,86,2,0,0,76,12,13485,652.58,88.99,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1678,2,1659,19,43,0,1594,41,89648,1871.77,45.73,47.97
12,12 - Chaudière-Appalaches,9912,130,9653,259,208,1,8641,1063,431910,2294.92,246.12,48.16
13,13 - Laval,19704,165,18290,1414,786,1,16727,2191,446572,4412.28,490.63,176.01
14,14 - Lanaudière,17092,137,16384,708,421,2,15152,1519,524642,3257.84,289.53,80.25
15,15 - Laurentides,12790,123,12190,600,386,1,11308,1096,633508,2018.92,173.00,60.93
16,16 - Montérégie,33262,353,31825,1437,1163,8,28288,3811,1443701,2303.94,263.97,80.56
17,17 - Nunavik,30,-1,28,2,0,0,29,1,14413,208.15,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,47,6,46,1,2,0,19,26,18629,252.29,139.57,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,190,2,187,3,0,0,176,14,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,234695,2071,225932,8763,8815,33,202166,23714,8591866,2731.60,276.01,102.60
