group,0d,1d,2d,3d,pop 2021
0-4,0,87,17,0,109960
5-11,0,81867,50792,0,149671
12-17,0,99941,92271,0,115666
18-29,0,326937,303806,0,367326
30-39,0,283183,267263,0,330128
40-49,0,250102,239060,0,281268
50-59,0,230938,222998,0,254246
60-69,0,210754,205060,0,219244
70-79,0,147345,143951,0,148691
80 plus,0,103236,99253,0,102264
Total 12+,0,1652436,1573662,0,1818833
Total,0,1734390,1624471,0,2078464
