Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif);;
2021-02-04;256625;248673;;
2021-02-03;256 625;244 533;;
2021-02-02;256 625;241 696;;
2021-02-01;256 625;241 068;;
2021-01-31;238100;240 692;;
2021-01-30;238100;239931;;
2021-01-29;238100;239389;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
