CIUSSS;Nombre de cas, les derniers 7 jours;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;22;48;12,8;20288;5422,9;< 5;n.p.;889;237,6
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;16;44;11,7;23511;6234,2;0;;758;201
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;28;46;14;14655;4474,2;< 5;n.p.;647;197,5
CIUSSS du Nord-de-l'Île-de-Montréal ;60;119;26,5;33188;7376,8;< 5;n.p.;1105;245,6
CIUSSS de l'Est-de-l'Île-de-Montréal ;67;111;20,7;39541;7363,7;0;;1347;250,9
Territoire à confirmer;10;25;;2203;;0;;26;
Total à Montréal;203;393;19;133386;6457,3;< 5;n.p.;4772;231
