group,0d,1d,2d,3d,pop 2021
0-4,0,82,14,0,109960
5-11,0,81821,59494,0,149671
12-17,0,100027,92933,0,115666
18-29,0,326712,304496,0,367326
30-39,0,283734,268910,0,330128
40-49,0,250937,240678,0,281268
50-59,0,230905,223708,0,254246
60-69,0,211258,206076,0,219244
70-79,0,148106,144939,0,148691
80 plus,0,104537,100707,0,102264
Total 12+,0,1656216,1582447,0,1818833
Total,0,1738119,1641955,0,2078464
