date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,total_doses_1d,total_doses_2d,total_doses_3d,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS99,Ensemble du Québec,293,0,0,293,0,0,293,293,0.0027161025,0.0,0.0005107201,234.0,0.0,234.0,0.0,
2020-12-15,Région,RSS99,Ensemble du Québec,1174,0,0,1467,0,0,1174,1467,0.0155537495,0.0,0.001601804,1106.0,0.0,1340.0,0.0,
2020-12-16,Région,RSS99,Ensemble du Québec,949,0,0,2416,0,0,949,2416,0.0268128069,0.0,0.0024027061,970.0,0.0,2310.0,0.0,
2020-12-17,Région,RSS99,Ensemble du Québec,904,0,0,3320,0,0,904,3320,0.0376075733,0.0,0.0030759281,930.0,0.0,3240.0,0.0,697.0
2020-12-18,Région,RSS99,Ensemble du Québec,725,0,0,4045,0,0,725,4045,0.0464639247,0.0,0.0040625465,763.0,0.0,4003.0,0.0,728.0
2020-12-19,Région,RSS99,Ensemble du Québec,718,0,0,4763,0,0,718,4763,0.0548675923,0.0,0.0047938049,724.0,0.0,4727.0,0.0,849.0
2020-12-20,Région,RSS99,Ensemble du Québec,114,0,0,4877,0,0,114,4877,0.0563417163,0.0,0.004967914,127.0,0.0,4854.0,0.0,1251.0
2020-12-21,Région,RSS99,Ensemble du Québec,510,0,0,5387,0,0,510,5387,0.062180176,0.0,0.0059429252,503.0,0.0,5357.0,0.0,1554.0
2020-12-22,Région,RSS99,Ensemble du Québec,2024,0,0,7411,0,0,2024,7411,0.0832009524,0.0,0.009343857,1811.0,0.0,7168.0,0.0,1450.0
2020-12-23,Région,RSS99,Ensemble du Québec,3759,0,0,11170,0,0,3759,11170,0.1259389416,0.0,0.0138474799,3682.0,0.0,10850.0,0.0,1795.0
2020-12-24,Région,RSS99,Ensemble du Québec,3025,0,0,14195,0,0,3025,14195,0.1598437939,0.0,0.0165984043,2921.0,0.0,13771.0,0.0,2105.0
2020-12-25,Région,RSS99,Ensemble du Québec,0,0,0,14195,0,0,0,14195,0.1599830812,0.0,0.0165984043,12.0,0.0,13783.0,0.0,2391.0
2020-12-26,Région,RSS99,Ensemble du Québec,3132,0,0,17327,0,0,3132,17327,0.1957218832,0.0,0.0199877288,3079.0,0.0,16862.0,0.0,2439.0
2020-12-27,Région,RSS99,Ensemble du Québec,2284,0,0,19611,0,0,2284,19611,0.2224650464,0.0,0.0225877585,2304.0,0.0,19166.0,0.0,2340.0
2020-12-28,Région,RSS99,Ensemble du Québec,2514,1,0,22125,1,0,2515,22126,0.2520752068,0.0,0.0259886903,2551.0,0.0,21717.0,0.0,1957.0
2020-12-29,Région,RSS99,Ensemble du Québec,2359,0,0,24484,1,0,2359,24485,0.2804782105,0.0,0.028751222,2447.0,0.0,24164.0,0.0,1959.0
2020-12-30,Région,RSS99,Ensemble du Québec,3066,0,0,27550,1,0,3066,27551,0.3169598781,0.0,0.0325235866,3143.0,0.0,27307.0,0.0,1602.0
2020-12-31,Région,RSS99,Ensemble du Québec,345,0,0,27895,1,0,345,27896,0.3216492174,0.0,0.0326744811,404.0,0.0,27711.0,0.0,1496.0
2021-01-01,Région,RSS99,Ensemble du Québec,10,0,0,27905,1,0,10,27906,0.322554585,0.0,0.0326976957,78.0,0.0,27789.0,0.0,1535.0
2021-01-02,Région,RSS99,Ensemble du Québec,635,0,0,28540,1,0,635,28541,0.3307028925,0.0,0.0334869904,702.0,0.0,28491.0,0.0,2051.0
2021-01-03,Région,RSS99,Ensemble du Québec,1545,0,0,30085,1,0,1545,30086,0.3495995374,0.0,0.0349959363,1628.0,0.0,30119.0,0.0,3150.0
2021-01-04,Région,RSS99,Ensemble du Québec,2782,0,0,32867,1,0,2782,32868,0.3820650876,1.16073e-05,0.0389075882,2797.0,1.0,32916.0,1.0,5068.0
2021-01-05,Région,RSS99,Ensemble du Québec,5975,1,0,38842,2,0,5976,38844,0.4480176282,0.0001044655,0.0483443034,5682.0,8.0,38598.0,9.0,6981.0
2021-01-06,Région,RSS99,Ensemble du Québec,10754,1,0,49596,3,0,10755,49599,0.5664698769,0.0003482183,0.0606480156,10205.0,21.0,48803.0,30.0,8146.0
2021-01-07,Région,RSS99,Ensemble du Québec,13774,1,0,63370,4,0,13775,63374,0.7118858271,0.0006616147,0.0807402099,12528.0,27.0,61331.0,57.0,8938.0
2021-01-08,Région,RSS99,Ensemble du Québec,13399,2,0,76769,6,0,13401,76775,0.8575687447,0.0009866184,0.0973153996,12551.0,28.0,73882.0,85.0,9595.0
2021-01-09,Région,RSS99,Ensemble du Québec,8790,1,0,85559,7,0,8791,85566,0.9556154027,0.0011142985,0.1069030094,8447.0,11.0,82329.0,96.0,9887.0
2021-01-10,Région,RSS99,Ensemble du Québec,7087,2,0,92646,9,0,7089,92655,1.0361002525,0.0011723348,0.1132405819,6934.0,5.0,89263.0,101.0,9662.0
2021-01-11,Région,RSS99,Ensemble du Québec,7379,1,0,100025,10,0,7380,100035,1.1183029791,0.0014160876,0.1214585331,7082.0,21.0,96345.0,122.0,9389.0
2021-01-12,Région,RSS99,Ensemble du Québec,8015,4,0,108040,14,0,8019,108054,1.2088861589,0.0016250186,0.127935393,7804.0,18.0,104149.0,140.0,9080.0
2021-01-13,Région,RSS99,Ensemble du Québec,9175,5,0,117215,19,0,9180,117234,1.3136070004,0.0018455568,0.1357935186,9022.0,19.0,113171.0,159.0,9032.0
2021-01-14,Région,RSS99,Ensemble du Québec,11858,2,0,129073,21,0,11860,129094,1.4491683735,0.0020428805,0.1451838047,11679.0,17.0,124850.0,176.0,9040.0
2021-01-15,Région,RSS99,Ensemble du Québec,11236,6,0,140309,27,0,11242,140336,1.5804814837,0.0027161025,0.1536106869,11313.0,58.0,136163.0,234.0,9506.0
2021-01-16,Région,RSS99,Ensemble du Québec,8452,5,0,148761,32,0,8457,148793,1.6775067015,0.0035634336,0.1604125504,8359.0,73.0,144522.0,307.0,9840.0
2021-01-17,Région,RSS99,Ensemble du Québec,7139,1,0,155900,33,0,7140,155933,1.7559022417,0.0036911137,0.1663206538,6754.0,11.0,151276.0,318.0,10168.0
2021-01-18,Région,RSS99,Ensemble du Québec,10637,10,0,166537,43,0,10647,166580,1.8720910716,0.0042598702,0.1754439725,10010.0,49.0,161286.0,367.0,10446.0
2021-01-19,Région,RSS99,Ensemble du Québec,10352,2,0,176889,45,0,10354,176934,1.9900442075,0.0046661248,0.1837663892,10162.0,35.0,171448.0,402.0,10543.0
2021-01-20,Région,RSS99,Ensemble du Québec,11476,3,0,188365,48,0,11479,188413,2.1235046637,0.0049563067,0.1921584495,11498.0,25.0,182946.0,427.0,10551.0
2021-01-21,Région,RSS99,Ensemble du Québec,13791,12,0,202156,60,0,13803,202216,2.2862850984,0.0059197106,0.2015835574,14024.0,83.0,196970.0,510.0,9829.0
2021-01-22,Région,RSS99,Ensemble du Québec,11918,6,0,214074,66,0,11924,214140,2.4239822102,0.0066625763,0.2096390068,11863.0,64.0,208833.0,574.0,8950.0
2021-01-23,Région,RSS99,Ensemble du Québec,8504,4,0,222578,70,0,8508,222648,2.522736912,0.0068250781,0.2153497864,8508.0,14.0,217341.0,588.0,8059.0
2021-01-24,Région,RSS99,Ensemble du Québec,2084,3,0,224662,73,0,2087,224735,2.5469032601,0.0070456164,0.2167310522,2082.0,19.0,219423.0,607.0,6960.0
2021-01-25,Région,RSS99,Ensemble du Québec,4488,5,0,229150,78,0,4493,229228,2.5985672443,0.0075563365,0.2203989514,4451.0,44.0,223874.0,651.0,5472.0
2021-01-26,Région,RSS99,Ensemble du Québec,4089,31,0,233239,109,0,4120,233348,2.6472249441,0.0093206424,0.2245891779,4192.0,152.0,228066.0,803.0,4096.0
2021-01-27,Région,RSS99,Ensemble du Québec,3771,15,0,237010,124,0,3786,237134,2.6916808101,0.0111778065,0.22913923,3830.0,160.0,231896.0,963.0,2967.0
2021-01-28,Région,RSS99,Ensemble du Québec,3340,47,0,240350,171,0,3387,240521,2.7307973293,0.0135340835,0.2341651804,3370.0,203.0,235266.0,1166.0,2782.0
2021-01-29,Région,RSS99,Ensemble du Québec,2263,27,0,242613,198,0,2290,242811,2.7575288853,0.0154144622,0.2369741411,2303.0,162.0,237569.0,1328.0,2201.0
2021-01-30,Région,RSS99,Ensemble du Québec,554,50,0,243167,248,0,604,243415,2.7649111126,0.0172368044,0.2390286289,636.0,157.0,238205.0,1485.0,1717.0
2021-01-31,Région,RSS99,Ensemble du Québec,774,19,0,243941,267,0,793,244208,2.7746380097,0.0189546812,0.2409090075,838.0,148.0,239043.0,1633.0,1605.0
