No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,n.d.,n.d.,186,890.89,508,2437.27,61,292.66,993,4766.59,542,2603.02
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,23,65.87,278,795.08,1003,2864.49,27,77.11,2158,6146.22,1152,3272.08
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,5,25.95,134,696.34,278,1446.64,38,197.74,1041,5425.41,521,2719.49
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,n.d.,n.d.,34,396.06,181,2113.50,6,70.06,398,4656.60,258,3024.62
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,11,19.06,577,1000.03,219,379.63,117,202.82,3203,5541.95,1863,3217.39
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,n.d.,n.d.,87,482.42,99,550.34,37,205.68,1085,6043.56,449,2506.00
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,0,0.00,233,1122.38,25,120.87,37,178.89,1006,4870.37,479,2322.09
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,n.d.,n.d.,45,255.49,35,199.24,313,1781.75,1012,5772.30,478,2731.90
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),53,26.77,1588,802.93,2354,1191.51,640,323.94,10936,5534.02,5745,2906.46
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,n.d.,n.d.,500,1609.22,300,968.18,40,129.09,1531,4945.09,776,2508.57
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,5,19.89,713,2842.62,285,1138.72,156,623.30,1057,4231.39,427,1712.66
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,29,55.25,2305,4390.98,463,881.90,43,81.90,2358,4489.63,1144,2177.31
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,52,76.48,1997,2939.92,353,520.17,136,200.40,3323,4896.81,1469,2164.81
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,135,169.59,2620,3298.11,343,432.68,138,174.08,3733,4695.24,1806,2264.92
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,13,57.54,673,2979.46,108,478.26,16,70.85,973,4307.79,419,1854.64
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),247,88.54,8892,3191.65,1869,671.74,547,196.60,13242,4756.22,6097,2188.47
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,58,105.27,1375,2487.47,676,1218.94,121,218.18,2710,4867.58,725,1297.17
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,956,297.08,9693,3010.97,3753,1165.35,1347,418.26,16432,5072.19,6526,2002.61
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,644,183.07,9456,2680.33,5100,1441.48,1675,473.43,18610,5240.65,6626,1859.07
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,13,45.79,522,1839.74,133,469.04,69,243.33,1482,5222.45,707,2489.52
03,03 - Capitale-Nationale,,Total (incluant inconnus),1674,221.12,21067,2777.95,9686,1275.03,3232,425.45,39478,5173.22,14757,1925.05
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,n.d.,387,2565.72,31,205.65,70,464.38,1262,8368.98,496,3288.03
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,97,376.71,308,1195.49,98,380.17,94,364.65,1132,4386.58,395,1528.99
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,224,977.27,350,1527.98,78,340.75,191,834.39,1095,4783.54,261,1140.19
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,317,485.89,1043,1594.98,172,262.42,280,427.19,3210,4882.65,1554,2356.62
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,844,582.03,2639,1819.08,358,246.66,1079,743.43,8793,6033.80,3242,2215.69
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,48,106.89,754,1675.85,161,357.16,389,862.95,2799,6191.66,666,1469.10
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,270,249.34,3164,2914.73,670,615.72,558,512.79,4801,4395.76,1791,1633.80
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,32,32.49,2306,2338.87,649,657.47,1173,1188.31,7332,7407.22,1704,1716.76
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),1839,349.83,11031,2095.72,2227,422.56,3859,732.21,30541,5777.08,10142,1912.56
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,100,175.13,844,1468.78,217,375.27,285,492.87,1623,2788.04,774,1320.80
