Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,3818,994,0,0,26,98,124,2700,2231,1118,469,206,1675,221,1587,0,0,2,2,0,0,0,2
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,4309,997,0,0,68,177,245,3067,2309,1242,758,212,1984,216,2000,0,0,3,3,0,0,0,3
Région,RSS03,03 - Capitale-Nationale,Total,20423,6280,5,11,508,714,1241,12905,10035,7518,2870,1151,9966,1075,10388,19,54,32,86,0,0,0,86
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,12334,1652,1,2,258,822,1080,9599,9055,2735,544,419,4285,375,3279,0,6,15,21,0,0,0,21
Région,RSS05,05 - Estrie,Total,16158,2033,0,11,477,811,1289,12826,11856,3332,970,622,3981,524,4302,1,2,13,15,0,0,0,15
Région,RSS06,06 - Montréal,Total,99035,13820,126,285,4126,6571,11102,74107,61995,24928,12112,6890,30222,7069,37040,405,924,442,1366,38,0,38,1404
Région,RSS07,07 - Outaouais,Total,10018,3839,17,33,173,1053,1226,4903,4619,5115,284,238,4822,778,5399,0,6,21,27,5,0,5,32
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1442,103,187,0,29,40,69,1083,979,359,104,29,256,244,463,0,1,0,1,0,0,0,1
Région,RSS09,09 - Côte-Nord,Total,675,163,0,0,11,54,65,447,406,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,80,22,1,0,5,11,16,41,22,39,19,13,50,5,58,0,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,847,185,0,0,33,56,89,573,524,274,49,38,346,37,323,0,0,0,0,0,0,0,0
Région,RSS12,12 - Chaudière-Appalaches,Total,19976,3452,1,10,500,1547,2049,14466,13787,5510,679,874,8257,1111,6189,2,14,26,40,0,0,0,40
Région,RSS13,13 - Laval,Total,23990,3280,13,23,604,2926,3555,17144,15782,6846,1362,809,7239,963,8208,25,34,25,59,1,0,1,60
Région,RSS14,14 - Lanaudière,Total,16674,1820,38,11,366,1874,2343,12565,10752,4109,1813,734,5263,770,5922,103,69,28,97,1,0,1,98
Région,RSS15,15 - Laurentides,Total,20349,2558,33,59,436,2626,3253,14637,11872,5712,2765,1114,7483,1086,8477,191,292,63,355,1,0,1,356
Région,RSS16,16 - Montérégie,Total,40005,4291,26,155,1823,2552,4441,31158,27848,8847,3310,2485,10682,1877,12157,66,176,184,360,13,0,13,373
Région,RSS00,Inconnu,Total,1472,51,1,0,133,63,198,1224,1079,248,145,31,261,175,393,2,2,8,10,1,0,1,11
Région,RSS98,Hors-Québec,Total,1131,125,11,10,201,112,313,672,573,459,99,208,321,270,558,0,5,7,12,4,0,4,16
Région,RSS99,Ensemble du Québec,Total,292736,45665,460,610,9777,22107,32698,214117,185724,78619,28393,16095,97372,16829,107012,814,1586,875,2461,64,0,64,2525

